taxonomy	MetaAn_61	MetaAn_64	MetaAn_66	MetaAn_67	MetaAn_68	MetaAn_69
Flavobacteriaceae	0	0.18	1.62	4.46	4.26	0.03
Cryomorphaceae	0	0	0	0.1	0	0
Crocinitomicaceae	0	0	0	0.14	0.17	0
Weeksellaceae	0	0	7.74	0	0.06	0
Vicingaceae	0	0	0	0.05	0.01	0
PHOS-HE28	0	0.02	0	0.25	0.17	0.02
Chitinophagaceae	3.48	3.7	3.78	1.17	3.35	2.87
Saprospiraceae	0	0.98	0	1.1	0.45	0.04
GCA-2748055	0	0	0	0	0	0
Prolixibacteraceae	0	0.12	0	0	0	0
Dysgonomonadaceae	0	0	0	0	0	0
UBA10428	0	0	0	0	0	0
Paludibacteraceae	0	0.03	0	0	0	0
Marinilabiliaceae	0	0	0	0	0	0
VadinHA17	0	0	0	0	0	0
Lentimicrobiaceae	0	0.02	0	0	0	0
Cyclobacteriaceae	0.04	0.08	0.02	3.13	0.64	0.28
Sphingobacteriaceae	0.14	0.07	1.7	0.05	0.14	0.06
2-12-FULL-35-15	0.09	0.09	0	0.02	0	0
Microbacteriaceae	0.01	0.85	0.6	2.31	0.65	0.12
Dermatophilaceae	0.01	4.97	1.67	0.37	0.13	0.06
Cellulomonadaceae	0.01	0.6	0.08	0.04	0.04	0.01
Demequinaceae	0	0	0	0.36	0.01	0
Propionibacteriaceae	0	0.9	0.37	0.23	0.02	0
Nocardioidaceae	0.08	3.45	0.39	0.85	1.72	0.04
Pseudonocardiaceae	0.13	0.17	0.04	0.77	0.03	0.12
Mycobacteriaceae	0.34	0.3	3.14	0.32	0.06	0.09
Nakamurellaceae	0	0.15	0.04	0.13	0	0.02
Streptomycetaceae	0.06	0.13	0	0.03	0.05	0.01
Microtrichaceae	0	0.07	0	0.22	0.26	0.03
Iamiaceae	0.02	0.4	0	0.6	0.71	0.03
Ilumatobacteraceae	0.02	2.86	0	1.97	3.63	0.83
UBA8139	0.03	0.1	0	0.31	0.13	0.1
UBA5794	0	0	0	1.1	0.69	0
SKUG01	0	0	0	0.02	0.06	0
70-9	0.03	0.36	0	1.79	0.64	0.1
SZUA-47	0	0.33	0	0.31	0.11	0
UBA7683	0	0	0	0.02	0.01	0
UBA4665	0.26	1.47	0.09	0.21	0.09	0.37
UBA1020	0	0	0	0.02	0.03	0
UBA5946	0	0.06	0	0	0	0
UBA1547	0	0.39	0	0.13	0.01	0
Saccharimonadaceae	0	0.3	0	0.02	0	0
UBA9973	0.07	0.32	0	0.12	0.12	0.12
UBA918	0	0.02	0	0.43	0.05	0
UBA1369	0	0	0	0	0	0.01
Absconditicoccaceae	0	0	0	0	0.02	0
SG8-38	0	0	0	0.21	0.48	0
Polyangiaceae	2.25	1.08	0	1.42	0.22	0.84
Haliangiaceae	0	0.52	0	0.21	0.09	0.26
Bradymonadaceae	0	0	0	0.01	0	0
Akkermansiaceae	0	0.41	0	0.24	0.73	0
CANJXF01	0	0.09	0	0	0.02	0
Opitutaceae	0.75	0.36	0	0.68	0.13	0.28
T3Sed10-336	0	0	0	0	0	0
Terrimicrobiaceae	0	0.02	0	0.11	0	0
Abditibacteriaceae	0	0.42	0	0	0	0
Anaerolineaceae	0	0	0	0	0	0
UBA6265	0	0.09	0.16	0.05	0.03	0
Tepidiformaceae	0	0.15	0	0.16	0	0.05
Pirellulaceae	0.06	0.31	0	0.94	3.5	0.15
Phycisphaeraceae	0.03	0	0	0.2	0.16	0.02
UBA1924	0.02	0	0	0.33	0.15	0.25
Desulfuromonadaceae	0	0	0	0	0	0
Desulfocapsaceae	0	0	0	0	0.07	0
Sphingomonadaceae	0.03	9.01	0.11	1.95	2.72	0.23
Govaniaceae	0	0	0	0	0	0
Rhodobacteraceae	0.02	0.89	0.12	3.21	2.41	0.05
Rickettsiaceae	0	0.02	0	0.04	0	0
UBA9215	0	0	0	0	0	0
Xanthomonadaceae	0.03	2.67	5.79	0.85	0.81	0.06
Rhodanobacteraceae	0.09	0.8	4.1	0.59	0.09	0.11
SZUA-36	0	0	0	0.62	0.12	0
Marinicellaceae	0	0	0	0.04	0.01	0
Burkholderiaceae	0.39	8.67	2.29	0.93	4.21	2.2
Nitrosomonadaceae	0	0.03	0	0.17	0.54	0.02
Thiobacillaceae	0.02	0.2	0	0	0.03	0.04
Rhodocyclaceae	0.04	0.14	0	0.03	0.31	0.19
Methylophilaceae	0	0.38	0	0.09	0.04	0.07
Pseudomonadaceae	0	0.01	0.04	0.24	0.21	0.02
Oleiphilaceae	0	0	0	0.04	0.26	0
DSM-21967	0	0	0	0.33	0.08	0
Moraxellaceae	0	0	1.07	0.02	0.9	0
Nevskiaceae	0.01	0.03	0	0.01	0.52	0
GCA-2729495	0	0	0	0.06	0.21	0.07
Methylophagaceae	0	0	0	0	0.01	0
Tissierellaceae	0	0	0.2	0	0	0
Gottschalkiaceae	0	0	0	0	0	0
Peptoniphilaceae	0	0	0	0	0	0
Tepidimicrobiaceae	0	0	0	0	0	0
Aristaeellaceae	0	0	0	0	0	0
Eubacteriaceae	0	0	0	0	0	0
Erysipelotrichaceae	0	0	0	0	0	0
Amphibacillaceae	0	0	0.09	0	0	0
Trueperaceae	0	0	0	0	0.15	0
Gemmatimonadaceae	1.05	3.2	1	0.57	1.19	0.91
GWC2-71-9	0.04	0.19	0	0.54	0.29	1.19
Longimicrobiaceae	0	0	0.22	0.28	0	0
Sumerlaeaceae	0	0	0	0	0	0
JAGRMV01	0	0	0	0	0	0
Hymenobacteraceae	0	0.92	0	0.05	0.28	0.01
2013-40CM-41-45	0.03	0.08	0	0	0.1	0.15
Fen-336	0.3	0	0	0.2	0.02	0.62
JAGNNV01	0	0.16	0	0.19	0.03	0.01
2-12-FULL-66-21	0.02	0.08	0	0.12	0.02	0.08
UBA2999	0.8	0.67	0	1.02	0.29	3.46
SCN-69-37	0.22	0.18	0	1.97	0.07	0.62
Pyrinomonadaceae	0	2.2	0	0.48	4.24	3.52
RBC074	0	0.23	0	0	0	0.02
UBA5066	0.03	0.12	0	0	0	0.13
Gp7-AA6	0.2	0	0	0	0	0.32
Gp7-AA8	0.07	0.3	0	0.02	0	0.16
UBA5704	0.2	0	0	1.35	0.91	0.13
Bryobacteraceae	7.71	0.4	0.14	0.14	0.09	3.08
UBA7541	4.91	0	2.22	0.03	0	2.63
SG8-39	0.02	0.23	0	0.94	0.2	1.95
Usitatibacteraceae	0	0.47	0	0.02	0.07	0.27
Casimicrobiaceae	0.88	2.11	0.35	0.12	0.07	2.75
SG8-41	0.04	0.11	0	0.73	0.44	0.34
JACQAP01	0	0.04	0	0	0	0.07
Steroidobacteraceae	3.92	0.05	0.45	0.65	0.09	3.62
Xanthobacteraceae	5.69	0.64	0.07	1.14	0.16	5.95
Aestuariivirgaceae	0.04	0.5	0	0.32	0.27	0.38
Kaistiaceae	0.07	0	0	0.29	0.02	0.14
Devosiaceae	0	0.3	0	0.94	0.08	0.02
Rhizobiaceae	0.05	0.06	0.19	0.9	0.32	0.05
Hyphomicrobiaceae	0.31	0.23	0	0.62	0.15	1.06
Acetobacteraceae	1.49	0.57	1.09	0.05	0.05	0.23
Caulobacteraceae	0.86	0.66	0.13	0.39	0.57	0.34
Reyranellaceae	0.27	0.15	0	0.1	0.01	0.34
Micropepsaceae	0.96	0.11	0.1	0.15	0.01	0.81
CSP1-4	0.09	2.42	0	0.78	0.42	1.21
QHBO01	0	0	0	0.15	0	0.08
P2-11E	0	0.09	0	0	0	0.06
UBA6663	0.02	0	0	0.02	0	0.27
JACRBR01	0.01	0.03	0	0.07	0	0.32
Dormibacteraceae	0.26	0	0	0	0	1
Roseiflexaceae	0	0.17	0	0	0	0.26
JADMIH01	0	0.15	0	0	0	0.04
Jatrophihabitantaceae	0	0.06	0	0	0	0.02
SCTD01	0	1.1	0	0	0.27	0
Geodermatophilaceae	0	0.34	0	0.02	0.15	0.02
Micromonosporaceae	0	0.25	0.24	0.18	0	0.19
Micrococcaceae	0	0.07	0.75	0.28	0.41	0
JACCUZ01	0	0	0	0	0	0
JACDCH01	0	0.07	0	0.55	0.78	0
AC-14	0	0.02	0	0.03	0.02	0.01
PALSA-610	0.1	0.08	0	0.01	0	0.5
PALSA-555	1.71	0.04	0	0.13	0.03	0.36
IMCC26256	0.02	0.33	0	0.03	0.08	0.12
JANYLB01	0	0	0	0.01	0	0
Thermoleophilaceae	0	0.01	0	0.05	0	0.01
Solirubrobacteraceae	2.46	2.69	0.55	0.7	0.11	0.35
Gaiellaceae	0.1	0.6	0.04	0.41	0.1	0.8
F1-60-MAGs149	0	0.18	0	0	0	0.07
Miltoncostaeaceae	0.01	0.02	0	0.02	0.08	0.03
HRBIN12	0	0.31	0	0	0	0.28
PALSA-660	0	0	0	0	0	0
Pseudopelobacteraceae	0.02	0.44	0	0	0	0.01
PNKZ01	0	0	0	0.03	0	0.01
Lacipirellulaceae	0.02	0	0	1.36	0.43	0.11
Gemmataceae	1.61	0.23	0.08	0.16	0.02	1.35
Isosphaeraceae	0.64	0.1	0.05	0.06	0	0.09
Planctomycetaceae	0.26	0.11	0	0.64	0.31	0.17
SM1A02	0	0	0	0.26	0.16	0.05
Tepidisphaeraceae	0.72	0.28	0	0.13	0.02	0.65
JAEUHO01	0	0	0	0	0.47	0.09
H5-PLA8	0.09	0.03	0	0	0	0.06
GCA-002686595	0	0	0	0.75	0.34	0.3
UBA10450	0.22	0.59	0	0.2	0.04	0.79
Chthoniobacteraceae	0.41	1.49	0	0.24	0.13	0.26
SZAS-18	0.02	0.03	0	0	0	0.06
Verrucomicrobiaceae	0	0.74	0	0.03	0.21	0.07
V1-33	0	0.05	0	0.01	0.02	0
UBA11358	0.92	0.02	0.57	0.17	0.12	0.44
Fimbriimonadaceae	0.39	0.06	0	0	0.23	0.13
Chthonomonadaceae	0.18	0.4	0	0	0	0.05
UBA10212	0	0.02	0	0.01	0	0.14
UBA4664	0.02	0.25	0	0	0	0.05
UBA12049	0.24	0.03	0	0.07	0	0.28
UBA920	0.11	0.14	0	0	0.03	0.12
Fen-1088	0.3	0	0	0.02	0	0.28
Nitrospiraceae	0	0.26	0	0.13	0.12	2.22
RBG-16-71-46	0.02	0.17	0	0.09	0.03	0.76
SMWR01	0	0	0	0.06	0.17	0
Nitrosopumilaceae	0	0	0	0.11	0.54	0.56
Nitrosocaldaceae	0	0	0	0	0	0
JAHFTW01	0	0	0	0	0.42	0
UBA525	0	0	0	0	0	0
SKIA01	0	0	0	0	0	0
4572-78	0	0	0	0	0.01	0
Caldilineaceae	0	0.04	0	0.18	0.09	0.01
Ardenticatenaceae	0	0	0	0	0.17	0
UBA1135	0	0	0	0	0.01	0
UBA2386	0	0	0	0.12	0.14	0.07
J103	0	0	0	0	0	0
JADJEK01	0	0	0	0.02	0	0
GWC2-37-13	0	0.06	0	0.04	0	0
S012-47	0	0	0	0	0	0
UBA10348	0	0	0	0.06	0.07	0
ISCAR-4553	0	0	0	0.01	0	0
Ignavibacteriaceae	0	0	0	0	0	0
Melioribacteraceae	0	0	0	0	0	0
Nannocystaceae	0	0	0	0.22	0.02	0
UBA6777	0	0	0	0	0	0
SHLQ01	0	0	0	0.07	1.63	0
SZUA-35	0	0	0	0.08	5.51	0
Aldehydirespiratoraceae	0	0	0	0.26	0.31	0.02
ZC4RG35	0	0	0	0.8	0.31	0
JAENVV01	0	0	0	0.02	1.82	0
Nitrospinaceae	0	0	0	0	0.06	0
WLXD01	0	0	0	0	0	0
UBA890	0	0	0	0	0.01	0
UBA8639	0	0	0	0.19	0.87	0
J042	0	0	0	0	0.02	0
RBG-13-44-9	0	0	0	0	0	0
Palauibacteraceae	0	0	0	0.26	0.01	0
UBA6960	0	0	0	1.22	0.39	0
JAKEHA01	0	0	0	0	0.01	0.01
WVZY01	0	0	0	0	0.01	0
JAJRXK01	0	0	0	0.01	0.03	0
GCA-002770795	0	0	0	0	0	0
Alteromonadaceae	0	0	0	0.11	0.32	0
Kangiellaceae	0	0	0	0	0.01	0
Cellvibrionaceae	0	0.03	0	1.57	0.32	0
Azotimanducaceae_A	0	0.02	0	0.21	0.3	0.1
Halomonadaceae	0	0	0	0.15	0.02	0
Halieaceae	0	0	0	0.58	0.3	0
Alcanivoracaceae	0	0	0	0	0.01	0
