Name	Geography	Latitudes	BLAabundance	Metagenome	BLAName	Geocolors
MA 17	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00406	MetaAn_17	0.00406 MA17	#E41A1C
MA 18	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00169	MetaAn_18	0.00169 MA18	#E41A1C
MA 19	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.0032	MetaAn_19	0.0032 MA19	#E41A1C
MA 20	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00612	MetaAn_20	0.00612 MA20	#E41A1C
MA 21	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.01205	MetaAn_21	0.01205 MA21	#E41A1C
MA 22	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00578	MetaAn_22	0.00578 MA22	#E41A1C
MA 23	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.01522	MetaAn_23	0.01522 MA23	#E41A1C
MA 24	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00476	MetaAn_24	0.00476 MA24	#E41A1C
MA 25	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.01494	MetaAn_25	0.01494 MA25	#E41A1C
MA 26	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00242	MetaAn_26	0.00242 MA26	#E41A1C
MA 27	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00148	MetaAn_27	0.00148 MA27	#E41A1C
MA 28	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00279	MetaAn_28	0.00279 MA28	#E41A1C
MA 29	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00125	MetaAn_29	0.00125 MA29	#E41A1C
MA 30	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00148	MetaAn_30	0.00148 MA30	#E41A1C
MA 31	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00324	MetaAn_31	0.00324 MA31	#E41A1C
MA 32	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00182	MetaAn_32	0.00182 MA32	#E41A1C
MA 33	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00136	MetaAn_33	0.00136 MA33	#E41A1C
MA 34	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00408	MetaAn_34	0.00408 MA34	#E41A1C
MA 35	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	0.00182	MetaAn_35	0.00182 MA35	#E41A1C
MA 36	Antarctic Dry Valley	Latitudes 78 ° a 85 ° Sur	5.5e-4	MetaAn_36	0.00055 MA36	#E41A1C
