tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,rank_0,k__Bacteria,Root,k__Bacteria,,,,,,
p__Bacteroidota,k__Bacteria,rank_1,p__Bacteroidota,Root,k__Bacteria,p__Bacteroidota,,,,,
c__Bacteroidia,p__Bacteroidota,rank_2,c__Bacteroidia,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,,,,
p__Actinomycetota,k__Bacteria,rank_1,p__Actinomycetota,Root,k__Bacteria,p__Actinomycetota,,,,,
c__Actinomycetes,p__Actinomycetota,rank_2,c__Actinomycetes,Root,k__Bacteria,p__Actinomycetota,c__Actinomycetes,,,,
p__Acidobacteriota,k__Bacteria,rank_1,p__Acidobacteriota,Root,k__Bacteria,p__Acidobacteriota,,,,,
c__Blastocatellia,p__Acidobacteriota,rank_2,c__Blastocatellia,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,,,,
o__Pyrinomonadales,c__Blastocatellia,rank_3,o__Pyrinomonadales,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,,,
f__Pyrinomonadaceae,o__Pyrinomonadales,rank_4,f__Pyrinomonadaceae,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,,
g__JACCYN01,f__Pyrinomonadaceae,rank_5,g__JACCYN01,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__JACCYN01,
s__JACCYN01_sp013696465,g__JACCYN01,rank_6,s__JACCYN01_sp013696465,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__JACCYN01,s__JACCYN01_sp013696465
o__Flavobacteriales,c__Bacteroidia,rank_3,o__Flavobacteriales,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,,,
f__Weeksellaceae,o__Flavobacteriales,rank_4,f__Weeksellaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,,
p__Verrucomicrobiota,k__Bacteria,rank_1,p__Verrucomicrobiota,Root,k__Bacteria,p__Verrucomicrobiota,,,,,
c__Verrucomicrobiae,p__Verrucomicrobiota,rank_2,c__Verrucomicrobiae,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,,,,
o__Chthoniobacterales,c__Verrucomicrobiae,rank_3,o__Chthoniobacterales,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,,,
f__UBA10450,o__Chthoniobacterales,rank_4,f__UBA10450,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,,
p__Eremiobacterota,k__Bacteria,rank_1,p__Eremiobacterota,Root,k__Bacteria,p__Eremiobacterota,,,,,
c__Eremiobacteria,p__Eremiobacterota,rank_2,c__Eremiobacteria,Root,k__Bacteria,p__Eremiobacterota,c__Eremiobacteria,,,,
g__Kaistella,f__Weeksellaceae,rank_5,g__Kaistella,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Kaistella,
o__Cytophagales,c__Bacteroidia,rank_3,o__Cytophagales,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,,,
f__Cyclobacteriaceae,o__Cytophagales,rank_4,f__Cyclobacteriaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,,
p__Pseudomonadota,k__Bacteria,rank_1,p__Pseudomonadota,Root,k__Bacteria,p__Pseudomonadota,,,,,
c__Alphaproteobacteria,p__Pseudomonadota,rank_2,c__Alphaproteobacteria,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,,,,
o__Rhizobiales,c__Alphaproteobacteria,rank_3,o__Rhizobiales,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,,,
f__Xanthobacteraceae,o__Rhizobiales,rank_4,f__Xanthobacteraceae,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,,
g__Bradyrhizobium,f__Xanthobacteraceae,rank_5,g__Bradyrhizobium,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,
o__Sphingomonadales,c__Alphaproteobacteria,rank_3,o__Sphingomonadales,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,,,
f__Sphingomonadaceae,o__Sphingomonadales,rank_4,f__Sphingomonadaceae,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,,
g__Sphingorhabdus,f__Sphingomonadaceae,rank_5,g__Sphingorhabdus,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingorhabdus,
f__Chthoniobacteraceae,o__Chthoniobacterales,rank_4,f__Chthoniobacteraceae,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,,
c__Gammaproteobacteria,p__Pseudomonadota,rank_2,c__Gammaproteobacteria,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,,,,
o__Pseudomonadales,c__Gammaproteobacteria,rank_3,o__Pseudomonadales,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,,,
f__Moraxellaceae,o__Pseudomonadales,rank_4,f__Moraxellaceae,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,,
g__Psychrobacter,f__Moraxellaceae,rank_5,g__Psychrobacter,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Psychrobacter,
o__Mycobacteriales,c__Actinomycetes,rank_3,o__Mycobacteriales,Root,k__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,,,
f__Pseudonocardiaceae,o__Mycobacteriales,rank_4,f__Pseudonocardiaceae,Root,k__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Pseudonocardiaceae,,
g__Pseudonocardia,f__Pseudonocardiaceae,rank_5,g__Pseudonocardia,Root,k__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Pseudonocardiaceae,g__Pseudonocardia,
g__Amycolatopsis,f__Pseudonocardiaceae,rank_5,g__Amycolatopsis,Root,k__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Pseudonocardiaceae,g__Amycolatopsis,
p__Gemmatimonadota,k__Bacteria,rank_1,p__Gemmatimonadota,Root,k__Bacteria,p__Gemmatimonadota,,,,,
c__Gemmatimonadetes,p__Gemmatimonadota,rank_2,c__Gemmatimonadetes,Root,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,,,,
o__Gemmatimonadales,c__Gemmatimonadetes,rank_3,o__Gemmatimonadales,Root,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,,,
o__Xanthomonadales,c__Gammaproteobacteria,rank_3,o__Xanthomonadales,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,,,
f__Xanthomonadaceae,o__Xanthomonadales,rank_4,f__Xanthomonadaceae,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,,
g__Stenotrophomonas,f__Xanthomonadaceae,rank_5,g__Stenotrophomonas,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,
g__OLB17,f__Pyrinomonadaceae,rank_5,g__OLB17,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__OLB17,
g__JACCTI01,f__UBA10450,rank_5,g__JACCTI01,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__JACCTI01,
s__JACCTI01_sp013697365,g__JACCTI01,rank_6,s__JACCTI01_sp013697365,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__JACCTI01,s__JACCTI01_sp013697365
g__Lysobacter,f__Xanthomonadaceae,rank_5,g__Lysobacter,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,
s__Lysobacter,g__Lysobacter,rank_6,s__Lysobacter,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__Lysobacter
g__Pseudolabrys,f__Xanthobacteraceae,rank_5,g__Pseudolabrys,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,
c__Terriglobia,p__Acidobacteriota,rank_2,c__Terriglobia,Root,k__Bacteria,p__Acidobacteriota,c__Terriglobia,,,,
o__Acidoferrales,c__Terriglobia,rank_3,o__Acidoferrales,Root,k__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Acidoferrales,,,
f__UBA7541,o__Acidoferrales,rank_4,f__UBA7541,Root,k__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Acidoferrales,f__UBA7541,,
g__DAHUXN01,f__UBA7541,rank_5,g__DAHUXN01,Root,k__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Acidoferrales,f__UBA7541,g__DAHUXN01,
s__DAHUXN01_sp027307115,g__DAHUXN01,rank_6,s__DAHUXN01_sp027307115,Root,k__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Acidoferrales,f__UBA7541,g__DAHUXN01,s__DAHUXN01_sp027307115
o__Burkholderiales,c__Gammaproteobacteria,rank_3,o__Burkholderiales,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,,,
f__Burkholderiaceae,o__Burkholderiales,rank_4,f__Burkholderiaceae,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,,
g__Variovorax,f__Burkholderiaceae,rank_5,g__Variovorax,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Variovorax,
s__JACCTI01_sp013820755,g__JACCTI01,rank_6,s__JACCTI01_sp013820755,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__JACCTI01,s__JACCTI01_sp013820755
g__Halpernia,f__Weeksellaceae,rank_5,g__Halpernia,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Halpernia,
o__Chitinophagales,c__Bacteroidia,rank_3,o__Chitinophagales,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,,,
f__Chitinophagaceae,o__Chitinophagales,rank_4,f__Chitinophagaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,,
g__Ferruginibacter,f__Chitinophagaceae,rank_5,g__Ferruginibacter,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,
g__Noviherbaspirillum,f__Burkholderiaceae,rank_5,g__Noviherbaspirillum,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Noviherbaspirillum,
s__Noviherbaspirillum,g__Noviherbaspirillum,rank_6,s__Noviherbaspirillum,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Noviherbaspirillum,s__Noviherbaspirillum
f__Flavobacteriaceae,o__Flavobacteriales,rank_4,f__Flavobacteriaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,
g__Flavobacterium,f__Flavobacteriaceae,rank_5,g__Flavobacterium,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,
s__Flavobacterium_sediminilitoris,g__Flavobacterium,rank_6,s__Flavobacterium_sediminilitoris,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_sediminilitoris
g__Palsa-1392,f__UBA10450,rank_5,g__Palsa-1392,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__Palsa-1392,
f__Rhodanobacteraceae,o__Xanthomonadales,rank_4,f__Rhodanobacteraceae,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,,
f__Gemmatimonadaceae,o__Gemmatimonadales,rank_4,f__Gemmatimonadaceae,Root,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,,
g__Fen-1247,f__Gemmatimonadaceae,rank_5,g__Fen-1247,Root,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Fen-1247,
s__Fen-1247_sp003155795,g__Fen-1247,rank_6,s__Fen-1247_sp003155795,Root,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Fen-1247,s__Fen-1247_sp003155795
