tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,rank_0,k__Bacteria,Root,k__Bacteria,,,,,,
p__Eremiobacterota,k__Bacteria,rank_1,p__Eremiobacterota,Root,k__Bacteria,p__Eremiobacterota,,,,,
c__Eremiobacteria,p__Eremiobacterota,rank_2,c__Eremiobacteria,Root,k__Bacteria,p__Eremiobacterota,c__Eremiobacteria,,,,
o__Baltobacterales,c__Eremiobacteria,rank_3,o__Baltobacterales,Root,k__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,,,
f__Baltobacteraceae,o__Baltobacterales,rank_4,f__Baltobacteraceae,Root,k__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,f__Baltobacteraceae,,
p__Pseudomonadota,k__Bacteria,rank_1,p__Pseudomonadota,Root,k__Bacteria,p__Pseudomonadota,,,,,
c__Gammaproteobacteria,p__Pseudomonadota,rank_2,c__Gammaproteobacteria,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,,,,
o__Xanthomonadales,c__Gammaproteobacteria,rank_3,o__Xanthomonadales,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,,,
f__Xanthomonadaceae,o__Xanthomonadales,rank_4,f__Xanthomonadaceae,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,,
g__Lysobacter,f__Xanthomonadaceae,rank_5,g__Lysobacter,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,
s__Lysobacter,g__Lysobacter,rank_6,s__Lysobacter,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__Lysobacter
p__Verrucomicrobiota,k__Bacteria,rank_1,p__Verrucomicrobiota,Root,k__Bacteria,p__Verrucomicrobiota,,,,,
c__Verrucomicrobiae,p__Verrucomicrobiota,rank_2,c__Verrucomicrobiae,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,,,,
o__Chthoniobacterales,c__Verrucomicrobiae,rank_3,o__Chthoniobacterales,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,,,
f__UBA10450,o__Chthoniobacterales,rank_4,f__UBA10450,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,,
o__Burkholderiales,c__Gammaproteobacteria,rank_3,o__Burkholderiales,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,,,
f__Burkholderiaceae,o__Burkholderiales,rank_4,f__Burkholderiaceae,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,,
f__Rhodanobacteraceae,o__Xanthomonadales,rank_4,f__Rhodanobacteraceae,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,,
g__66-474,f__Rhodanobacteraceae,rank_5,g__66-474,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__66-474,
c__Alphaproteobacteria,p__Pseudomonadota,rank_2,c__Alphaproteobacteria,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,,,,
