tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,rank_0,k__Bacteria,Root,k__Bacteria,,,,,,
p__Cyanobacteriota,k__Bacteria,rank_1,p__Cyanobacteriota,Root,k__Bacteria,p__Cyanobacteriota,,,,,
c__Cyanobacteriia,p__Cyanobacteriota,rank_2,c__Cyanobacteriia,Root,k__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,,,,
o__Cyanobacteriales,c__Cyanobacteriia,rank_3,o__Cyanobacteriales,Root,k__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Cyanobacteriales,,,
p__Bacteroidota,k__Bacteria,rank_1,p__Bacteroidota,Root,k__Bacteria,p__Bacteroidota,,,,,
c__Bacteroidia,p__Bacteroidota,rank_2,c__Bacteroidia,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,,,,
o__Chitinophagales,c__Bacteroidia,rank_3,o__Chitinophagales,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,,,
f__Chitinophagaceae,o__Chitinophagales,rank_4,f__Chitinophagaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,,
g__Segetibacter,f__Chitinophagaceae,rank_5,g__Segetibacter,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Segetibacter,
s__Segetibacter_sp002050375,g__Segetibacter,rank_6,s__Segetibacter_sp002050375,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Segetibacter,s__Segetibacter_sp002050375
p__Acidobacteriota,k__Bacteria,rank_1,p__Acidobacteriota,Root,k__Bacteria,p__Acidobacteriota,,,,,
c__Blastocatellia,p__Acidobacteriota,rank_2,c__Blastocatellia,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,,,,
o__Pyrinomonadales,c__Blastocatellia,rank_3,o__Pyrinomonadales,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,,,
f__Pyrinomonadaceae,o__Pyrinomonadales,rank_4,f__Pyrinomonadaceae,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,,
g__GCA-002050365,f__Pyrinomonadaceae,rank_5,g__GCA-002050365,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__GCA-002050365,
p__Pseudomonadota,k__Bacteria,rank_1,p__Pseudomonadota,Root,k__Bacteria,p__Pseudomonadota,,,,,
c__Alphaproteobacteria,p__Pseudomonadota,rank_2,c__Alphaproteobacteria,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,,,,
f__Chroococcidiopsidaceae,o__Cyanobacteriales,rank_4,f__Chroococcidiopsidaceae,Root,k__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Cyanobacteriales,f__Chroococcidiopsidaceae,,
g__Aliterella,f__Chroococcidiopsidaceae,rank_5,g__Aliterella,Root,k__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Cyanobacteriales,f__Chroococcidiopsidaceae,g__Aliterella,
g__JACDEG01,f__Pyrinomonadaceae,rank_5,g__JACDEG01,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__JACDEG01,
s__JACDEG01_sp013816505,g__JACDEG01,rank_6,s__JACDEG01_sp013816505,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__JACDEG01,s__JACDEG01_sp013816505
s__GCA-002050365_sp030857305,g__GCA-002050365,rank_6,s__GCA-002050365_sp030857305,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__GCA-002050365,s__GCA-002050365_sp030857305
o__Flavobacteriales,c__Bacteroidia,rank_3,o__Flavobacteriales,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,,,
f__Flavobacteriaceae,o__Flavobacteriales,rank_4,f__Flavobacteriaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,
s__Segetibacter_koreensis,g__Segetibacter,rank_6,s__Segetibacter_koreensis,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Segetibacter,s__Segetibacter_koreensis
o__Rhizobiales,c__Alphaproteobacteria,rank_3,o__Rhizobiales,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,,,
f__Xanthobacteraceae,o__Rhizobiales,rank_4,f__Xanthobacteraceae,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,,
c__Gammaproteobacteria,p__Pseudomonadota,rank_2,c__Gammaproteobacteria,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,,,,
o__Burkholderiales,c__Gammaproteobacteria,rank_3,o__Burkholderiales,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,,,
f__Burkholderiaceae,o__Burkholderiales,rank_4,f__Burkholderiaceae,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,,
g__Achromobacter,f__Burkholderiaceae,rank_5,g__Achromobacter,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Achromobacter,
o__Xanthomonadales,c__Gammaproteobacteria,rank_3,o__Xanthomonadales,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,,,
f__Rhodanobacteraceae,o__Xanthomonadales,rank_4,f__Rhodanobacteraceae,Root,k__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,,
g__Flavobacterium,f__Flavobacteriaceae,rank_5,g__Flavobacterium,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,
o__Cytophagales,c__Bacteroidia,rank_3,o__Cytophagales,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,,,
f__Cyclobacteriaceae,o__Cytophagales,rank_4,f__Cyclobacteriaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,,
g__Tunicatimonas,f__Cyclobacteriaceae,rank_5,g__Tunicatimonas,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Tunicatimonas,
s__Tunicatimonas_sp937884755,g__Tunicatimonas,rank_6,s__Tunicatimonas_sp937884755,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__Tunicatimonas,s__Tunicatimonas_sp937884755
g__Bradyrhizobium,f__Xanthobacteraceae,rank_5,g__Bradyrhizobium,Root,k__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,
s__GCA-002050365_sp026785925,g__GCA-002050365,rank_6,s__GCA-002050365_sp026785925,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__GCA-002050365,s__GCA-002050365_sp026785925
p__Verrucomicrobiota,k__Bacteria,rank_1,p__Verrucomicrobiota,Root,k__Bacteria,p__Verrucomicrobiota,,,,,
c__Verrucomicrobiae,p__Verrucomicrobiota,rank_2,c__Verrucomicrobiae,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,,,,
o__Chthoniobacterales,c__Verrucomicrobiae,rank_3,o__Chthoniobacterales,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,,,
f__UBA10450,o__Chthoniobacterales,rank_4,f__UBA10450,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,,
g__AV80,f__UBA10450,rank_5,g__AV80,Root,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__AV80,
