tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,rank_0,k__Bacteria,Root,k__Bacteria,,,,,,
p__Bacteroidota,k__Bacteria,rank_1,p__Bacteroidota,Root,k__Bacteria,p__Bacteroidota,,,,,
c__Bacteroidia,p__Bacteroidota,rank_2,c__Bacteroidia,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,,,,
o__Cytophagales,c__Bacteroidia,rank_3,o__Cytophagales,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,,,
f__Spirosomataceae,o__Cytophagales,rank_4,f__Spirosomataceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomataceae,,
p__Acidobacteriota,k__Bacteria,rank_1,p__Acidobacteriota,Root,k__Bacteria,p__Acidobacteriota,,,,,
c__Blastocatellia,p__Acidobacteriota,rank_2,c__Blastocatellia,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,,,,
o__Pyrinomonadales,c__Blastocatellia,rank_3,o__Pyrinomonadales,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,,,
f__Pyrinomonadaceae,o__Pyrinomonadales,rank_4,f__Pyrinomonadaceae,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,,
g__JAJQRF01,f__Pyrinomonadaceae,rank_5,g__JAJQRF01,Root,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__JAJQRF01,
o__Flavobacteriales,c__Bacteroidia,rank_3,o__Flavobacteriales,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,,,
f__Flavobacteriaceae,o__Flavobacteriales,rank_4,f__Flavobacteriaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,
o__Chitinophagales,c__Bacteroidia,rank_3,o__Chitinophagales,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,,,
f__Chitinophagaceae,o__Chitinophagales,rank_4,f__Chitinophagaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,,
g__Hanamia,f__Chitinophagaceae,rank_5,g__Hanamia,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Hanamia,
g__Gelidibacter,f__Flavobacteriaceae,rank_5,g__Gelidibacter,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Gelidibacter,
s__Gelidibacter_salicanalis,g__Gelidibacter,rank_6,s__Gelidibacter_salicanalis,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Gelidibacter,s__Gelidibacter_salicanalis
g__Ferruginibacter,f__Chitinophagaceae,rank_5,g__Ferruginibacter,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,
s__Ferruginibacter_sp025362235,g__Ferruginibacter,rank_6,s__Ferruginibacter_sp025362235,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,s__Ferruginibacter_sp025362235
o__B-17B0,c__Bacteroidia,rank_3,o__B-17B0,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__B-17B0,,,
f__Cyclobacteriaceae,o__Cytophagales,rank_4,f__Cyclobacteriaceae,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,,
g__ELB16-189,f__Cyclobacteriaceae,rank_5,g__ELB16-189,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae,g__ELB16-189,
o__AKYH767-A,c__Bacteroidia,rank_3,o__AKYH767-A,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__AKYH767-A,,,
f__OLB10,o__AKYH767-A,rank_4,f__OLB10,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__AKYH767-A,f__OLB10,,
g__JADKJB01,f__OLB10,rank_5,g__JADKJB01,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__AKYH767-A,f__OLB10,g__JADKJB01,
s__JADKJB01_sp016722525,g__JADKJB01,rank_6,s__JADKJB01_sp016722525,Root,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__AKYH767-A,f__OLB10,g__JADKJB01,s__JADKJB01_sp016722525
