Genome	ERR5891183_filtp_woHU_1.fastq.gz Relative Abundance (%)
unmapped	100
MetaAn_84_bin.37	NaN
MetaAn_47_bin.30	NaN
MetaAn_23_bin.51	NaN
MetaAn_63_bin.60	NaN
MetaAn_67_bin.23	NaN
MetaAn_53_bin.26	NaN
MetaAn_17_bin.75	NaN
MetaAn_66_bin.2	NaN
MetaAn_8_bin.23	NaN
MetaAn_3_bin.26	NaN
MetaAn_60_bin.1	NaN
MetaAn_73_bin.69	NaN
MetaAn_70_bin.3	NaN
MetaAn_57_bin.5	NaN
MetaAn_30_bin.1	NaN
MetaAn_65_bin.6	NaN
MetaAn_8_bin.29	NaN
MetaAn_75_bin.2	NaN
MetaAn_76_bin.32	NaN
MetaAn_17_bin.104	NaN
MetaAn_80_bin.8	NaN
MetaAn_23_bin.4	NaN
MetaAn_4_bin.6	NaN
MetaAn_74_bin.64	NaN
MetaAn_62_bin.73	NaN
MetaAn_74_bin.34	NaN
MetaAn_7_bin.18	NaN
MetaAn_73_bin.21	NaN
MetaAn_68_bin.26	NaN
MetaAn_9_bin.15	NaN
MetaAn_66_bin.14	NaN
MetaAn_84_bin.12	NaN
MetaAn_65_bin.73	NaN
MetaAn_58_bin.15	NaN
MetaAn_67_bin.32	NaN
MetaAn_57_bin.2	NaN
MetaAn_31_bin.6	NaN
MetaAn_62_bin.19	NaN
MetaAn_2_bin.39	NaN
MetaAn_73_bin.53	NaN
MetaAn_50_bin.64	NaN
MetaAn_66_bin.9	NaN
MetaAn_74_bin.13	NaN
MetaAn_74_bin.38	NaN
MetaAn_23_bin.31	NaN
MetaAn_73_bin.59	NaN
MetaAn_74_bin.24	NaN
MetaAn_77_bin.42	NaN
MetaAn_16_bin.21	NaN
MetaAn_69_bin.3	NaN
MetaAn_69_bin.10	NaN
MetaAn_10_bin.8	NaN
MetaAn_31_bin.1	NaN
MetaAn_5_bin.3	NaN
MetaAn_75_bin.5	NaN
MetaAn_23_bin.23	NaN
MetaAn_43_bin.17	NaN
MetaAn_47_bin.48	NaN
MetaAn_77_bin.50	NaN
MetaAn_61_bin.43	NaN
MetaAn_83_bin.18	NaN
MetaAn_50_bin.33	NaN
MetaAn_34_bin.37	NaN
MetaAn_31_bin.31	NaN
MetaAn_65_bin.5	NaN
MetaAn_30_bin.35	NaN
MetaAn_74_bin.3	NaN
MetaAn_74_bin.57	NaN
MetaAn_62_bin.31	NaN
MetaAn_1_bin.10	NaN
MetaAn_74_bin.15	NaN
MetaAn_8_bin.26	NaN
MetaAn_62_bin.25	NaN
MetaAn_50_bin.106	NaN
MetaAn_2_bin.44	NaN
MetaAn_58_bin.2	NaN
MetaAn_70_bin.17	NaN
MetaAn_62_bin.22	NaN
MetaAn_68_bin.49	NaN
MetaAn_68_bin.55	NaN
MetaAn_62_bin.10	NaN
MetaAn_25_bin.19	NaN
MetaAn_10_bin.45	NaN
MetaAn_21_bin.7	NaN
MetaAn_84_bin.14	NaN
MetaAn_1_bin.31	NaN
MetaAn_53_bin.33	NaN
MetaAn_22_bin.2	NaN
MetaAn_57_bin.11	NaN
MetaAn_10_bin.14	NaN
