Genome	shotgun_illumina_1st_ARH_ECA53_filtp_woHU_1.fastq.gz Relative Abundance (%)
unmapped	98.38171
MetaAn_84_bin.37	0
MetaAn_47_bin.30	0.027713733
MetaAn_23_bin.51	0
MetaAn_63_bin.60	0
MetaAn_67_bin.23	0
MetaAn_53_bin.26	0
MetaAn_17_bin.75	0
MetaAn_66_bin.2	0
MetaAn_8_bin.23	0
MetaAn_3_bin.26	0
MetaAn_60_bin.1	0
MetaAn_73_bin.69	0
MetaAn_70_bin.3	0
MetaAn_57_bin.5	0
MetaAn_30_bin.1	0
MetaAn_65_bin.6	0.010595295
MetaAn_8_bin.29	0
MetaAn_75_bin.2	0.57743
MetaAn_76_bin.32	0
MetaAn_17_bin.104	0
MetaAn_80_bin.8	0
MetaAn_23_bin.4	0
MetaAn_4_bin.6	0.08227768
MetaAn_74_bin.64	0
MetaAn_62_bin.73	0
MetaAn_74_bin.34	0
MetaAn_7_bin.18	0
MetaAn_73_bin.21	0
MetaAn_68_bin.26	0
MetaAn_9_bin.15	0.01840116
MetaAn_66_bin.14	0
MetaAn_84_bin.12	0
MetaAn_65_bin.73	0
MetaAn_58_bin.15	0
MetaAn_67_bin.32	0
MetaAn_57_bin.2	0.03371739
MetaAn_31_bin.6	0
MetaAn_62_bin.19	0
MetaAn_2_bin.39	0.011206775
MetaAn_73_bin.53	0
MetaAn_50_bin.64	0
MetaAn_66_bin.9	0
MetaAn_74_bin.13	0
MetaAn_74_bin.38	0
MetaAn_23_bin.31	0
MetaAn_73_bin.59	0
MetaAn_74_bin.24	0
MetaAn_77_bin.42	0
MetaAn_16_bin.21	0
MetaAn_69_bin.3	0
MetaAn_69_bin.10	0
MetaAn_10_bin.8	0
MetaAn_31_bin.1	0
MetaAn_5_bin.3	0.052911334
MetaAn_75_bin.5	0.58243865
MetaAn_23_bin.23	0
MetaAn_43_bin.17	0
MetaAn_47_bin.48	0
MetaAn_77_bin.50	0
MetaAn_61_bin.43	0
MetaAn_83_bin.18	0
MetaAn_50_bin.33	0
MetaAn_34_bin.37	0
MetaAn_31_bin.31	0
MetaAn_65_bin.5	0
MetaAn_30_bin.35	0
MetaAn_74_bin.3	0
MetaAn_74_bin.57	0
MetaAn_62_bin.31	0
MetaAn_1_bin.10	0
MetaAn_74_bin.15	0
MetaAn_8_bin.26	0
MetaAn_62_bin.25	0
MetaAn_50_bin.106	0
MetaAn_2_bin.44	0
MetaAn_58_bin.2	0
MetaAn_70_bin.17	0
MetaAn_62_bin.22	0
MetaAn_68_bin.49	0
MetaAn_68_bin.55	0
MetaAn_62_bin.10	0
MetaAn_25_bin.19	0
MetaAn_10_bin.45	0
MetaAn_21_bin.7	0
MetaAn_84_bin.14	0.20914564
MetaAn_1_bin.31	0.012458504
MetaAn_53_bin.33	0
MetaAn_22_bin.2	0
MetaAn_57_bin.11	0
MetaAn_10_bin.14	0
