taxonomy	MetaAn_1	MetaAn_10	MetaAn_11	MetaAn_12	MetaAn_13	MetaAn_14	MetaAn_15	MetaAn_16	MetaAn_17	MetaAn_18	MetaAn_19	MetaAn_2	MetaAn_20	MetaAn_21	MetaAn_22	MetaAn_23	MetaAn_24	MetaAn_25	MetaAn_26	MetaAn_27	MetaAn_28	MetaAn_29	MetaAn_3	MetaAn_30	MetaAn_31	MetaAn_32	MetaAn_33	MetaAn_34	MetaAn_35	MetaAn_36	MetaAn_37	MetaAn_38	MetaAn_39	MetaAn_4	MetaAn_40	MetaAn_41	MetaAn_43	MetaAn_44	MetaAn_45	MetaAn_46	MetaAn_47	MetaAn_48	MetaAn_49	MetaAn_5	MetaAn_50	MetaAn_53	MetaAn_54	MetaAn_55	MetaAn_56	MetaAn_57	MetaAn_58	MetaAn_59	MetaAn_6	MetaAn_60	MetaAn_61	MetaAn_62	MetaAn_63	MetaAn_64	MetaAn_65	MetaAn_66	MetaAn_67	MetaAn_68	MetaAn_69	MetaAn_7	MetaAn_70	MetaAn_71	MetaAn_72	MetaAn_73	MetaAn_74	MetaAn_75	MetaAn_76	MetaAn_77	MetaAn_78	MetaAn_79	MetaAn_8	MetaAn_80	MetaAn_81	MetaAn_82	MetaAn_83	MetaAn_84	MetaAn_9
Flavobacteriaceae	1.62	17.24	0	3.64	6.44	0.42	0.92	1.76	0	0	0.09	2.07	1.02	1.2	0.07	4.8	0	0.13	0	0	0	0	10.9	0	0	0	0	0	0	0	0	0	0	0.84	0	0	0	0	0	0	0	0.6	0	0.2	0.19	7.54	0	0	0	3.24	0	0	0.05	0.49	0	2.78	17.77	0.18	0.97	1.62	4.46	4.26	0.03	20.53	9.7	0.47	11.07	0	0.07	0.38	0.47	0.74	0.35	0.13	1.98	1.74	0	0.33	0.12	0.21	1.24
Cryomorphaceae	0	4.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85	0	0	0	0.1	0	0	2.32	0	0	0.08	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0.02
Crocinitomicaceae	0.09	0.23	0	0.17	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.03	0	0.08	0.88	0	0.08	0	0.14	0.17	0	2.09	1.43	0	2.24	0	0	0	0	0	0	0	1.61	0.28	0	0	0	0.12	0.09
Weeksellaceae	1.65	0.69	0	0	0	0	0	0.16	0	0	0	0.31	0	0	0	0.73	0	0	0	0	0	0	5.89	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0.6	0.03	0	0	0	0	0	0	0	0.14	0	0	0	0	0.93	0	0.03	7.74	0	0.06	0	1.69	2.76	0	10.46	0	0.01	0	0.24	0.23	0	0	0.91	0	0	0	0.02	0	0.08
Vicingaceae	0	0.19	0	0.07	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0.05	0.01	0	0.12	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOS-HE28	0.13	3.99	0	0	0	0	0	0	0.05	0	0.11	0.55	0.25	0.48	0.11	1.15	0	0.04	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0.07	0	0.03	0.03	0	0	0	0	0.04	0.96	0.05	0	0	0.16	0.1	0	0.08	0.2	0	0.02	0.42	0.02	0.13	0	0.25	0.17	0.02	1.53	0.93	0	0.83	0	0	0	0.05	0	0.26	0	1.95	0.13	0.03	0.01	0.05	0.19	0.88
Chitinophagaceae	23.34	21.12	4.49	0	0	6.72	10.9	10.77	0.99	1.15	3.65	6.76	3.06	8.52	2.46	4.37	1.29	4.61	1.66	0.08	1.85	2.17	15.03	0.63	0.95	0.44	0.75	0.68	0.68	0.76	1.21	0.81	0.99	8.15	0.23	0.11	1.36	0.32	1.25	1.63	1.15	5.2	4.94	2.23	2.81	3	2.36	3.52	4.66	3.69	2.54	6.47	4.28	5.76	3.48	2.8	5.2	3.7	5.17	3.78	1.17	3.35	2.87	7.61	1.44	8.58	7.01	2.29	7.43	7.56	6.36	5.34	8.44	5.03	22.2	4.93	2.99	2.87	4.42	3.06	19.98
Saprospiraceae	0	0.64	0.15	2.7	1.45	0.16	0.13	0	0.05	0	0.53	0.5	0.28	0.6	0.51	2.21	0	0	0	0	0	0	0.24	0	0.04	0	0	0	0	0	0	0	0	1.12	0	0	0	0	0.24	0	0	0.16	0	0.03	0.36	0	0	0	0	0.6	0	0	0.47	0.73	0	0.07	1.43	0.98	0.26	0	1.1	0.45	0.04	0.63	0.12	0.61	0.36	0	0.01	0.71	0	0.04	0.59	0.25	0.2	1.5	0.1	0.31	0	0.62	0.15
GCA-2748055	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0
Prolixibacteraceae	0	0.22	0	0	0	0	0	0	0	0	0	0.32	0	0	0	1.58	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.12	0	0	0	0	0	1.9	0.21	0	0.16	0	0	0	0	0	0	0	0.43	0.13	0	0.07	0	0	0.07
