seqname,tax_id
12883219_len_391_MetaAn_8,f__Baltobacteraceae
13409606_len_401_MetaAn_3,s__Lysobacter
17530938_len_391_MetaAn_62,f__UBA10450
21243713_len_452_MetaAn_63,f__Xanthomonadaceae
23210609_len_410_MetaAn_74,f__Burkholderiaceae
IDC-2,f__Xanthomonadaceae
SPA_MetaAn_16_l390_st1220_e2389_se1_ID=8635_3,g__66-474
SPA_MetaAn_21_l392_st14638_e15813_se1_ID=159_17,c__Alphaproteobacteria
SPA_MetaAn_2_l390_st11201_e12370_se1_ID=2896_12,o__Burkholderiales
SPA_MetaAn_61_l394_st2461_e3642_se-1_ID=18709_3,k__Bacteria
SPA_MetaAn_83_l435_st3519_e4823_se1_ID=6932_4,f__UBA10450
SPA_MetaAn_8_l396_st215_e1402_se1_ID=54894_1,k__Bacteria
