# Annotated with Bakta
# Software: v1.10.1
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	58	795	+	FGOHFL_001		Beta-lactamase OXA-20	SO:0001217, UniRef:UniRef50_O84955
contig_2	cds	515	1315	-	FGOHFL_002	blaOXA-205	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase OXA-205	NCBIProtein:WP_063861588.1, RefSeq:WP_063861588.1, SO:0001217, UniParc:UPI00022A5121, UniRef:UniRef100_G3G9W7, UniRef:UniRef90_G3G9W7
contig_2	cds	1522	1770	-	FGOHFL_003		Transposase	SO:0001217, UniRef:UniRef50_A0A1S1V2R1
contig_2	cds	1999	2952	+	FGOHFL_004		integron integrase	SO:0001217, UniRef:UniRef50_A0A091B9K0, UniRef:UniRef90_UPI0009FE84E9
contig_2	cds	3057	3470	+	FGOHFL_005		DUF971 domain-containing protein	SO:0001217, UniRef:UniRef50_D8IS34, UniRef:UniRef90_UPI0004843ABC
contig_2	cds	3630	4361	+	FGOHFL_006	ubiE	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	EC:2.1.1.163, EC:2.1.1.201, GO:0008168, SO:0001217, UniRef:UniRef50_Q2KUG1, UniRef:UniRef90_A0A2U1C1V0
contig_2	cds	4378	5397	+	FGOHFL_007		Tim44-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0A1VHS3
contig_2	cds	5456	6085	+	FGOHFL_008	ubiJ	Ubiquinone biosynthesis protein UbiJ	SO:0001217, UniRef:UniRef50_A0A0N8VU29
contig_2	cds	6082	7647	+	FGOHFL_009		hypothetical protein	PFAM:PF03109.20
contig_2	cds	7931	8200	+	FGOHFL_010		hypothetical protein	
contig_2	cds	8184	8804	+	FGOHFL_011		DUF502 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A446CPQ1, UniRef:UniRef90_A0A1F4LFB0
contig_2	cds	8882	10696	+	FGOHFL_012	aspS	aspartate--tRNA ligase	COG:COG0173, COG:J, EC:6.1.1.12, GO:0000166, GO:0004812, GO:0005524, GO:0006418, GO:0016874, SO:0001217, UniRef:UniRef50_Q5NIQ4, UniRef:UniRef90_K0HNY1
contig_2	cds	10893	11642	+	FGOHFL_013		endonuclease/exonuclease/phosphatase family protein	SO:0001217, UniRef:UniRef50_A0A2J7V8W6, UniRef:UniRef90_UPI0004861D12
contig_2	cds	11678	12922	+	FGOHFL_014		Cardiolipin synthase B	SO:0001217, UniRef:UniRef50_A0A1V6FND7
contig_2	cds	13042	13776	+	FGOHFL_015		GTP cyclohydrolase I	SO:0001217, UniRef:UniRef50_A0A2N3CGJ7
contig_2	cds	13779	14201	+	FGOHFL_016		BLUF domain-containing protein	SO:0001217, UniRef:UniRef50_Q0JZS4
contig_2	cds	14300	15811	-	FGOHFL_017		ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_Q89Q96, UniRef:UniRef90_UPI0004810394
contig_2	cds	15882	16679	-	FGOHFL_018		ATP-binding cassette domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0M6Z436, UniRef:UniRef90_UPI000485B78C
contig_3	cds	172	1035	+	FGOHFL_019	bla	class A beta-lactamase	NCBIFam:NF033103.1, SO:0001217, UniRef:UniRef50_A0A4Y5ULY1
contig_4	cds	169	1290	-	FGOHFL_020	ampC	class C beta-lactamase	NCBIFam:NF033085.1, SO:0001217, UniRef:UniRef50_A0A0U3EIS7
contig_4	cds	1513	2676	-	FGOHFL_021		M48 family metalloprotease	SO:0001217, UniRef:UniRef50_UPI0005C70BBC
contig_5	cds	989	3058	-	FGOHFL_022		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A7V9Q4T4
contig_6	cds	85	459	+	FGOHFL_023		Rhodanese-like domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7W1VCP1, UniRef:UniRef90_A0A7W1VCP1
contig_6	cds	553	696	+	FGOHFL_024		CCGSCS motif protein	SO:0001217, UniRef:UniRef50_A0A7W1FEN6, UniRef:UniRef90_A0A7W1VCR6
contig_6	cds	793	1278	+	FGOHFL_025		Heavy metal-responsive transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A949SMG1, UniRef:UniRef90_A0A7W1VCP0
contig_6	cds	1327	1542	+	FGOHFL_026		Heavy-metal-associated domain-containing protein	SO:0001217, UniParc:UPI0017FF65A0, UniRef:UniRef100_A0A7W1FEM8, UniRef:UniRef50_A0A949SHX8, UniRef:UniRef90_A0A7W1FEM8
contig_6	cds	1614	4370	+	FGOHFL_027		Heavy metal translocating P-type ATPase	EC:7.2.2.8, KEGG:K17686, SO:0001217, UniRef:UniRef50_A0A0P6WU05, UniRef:UniRef90_A0A7W1VCT6
contig_6	cds	4386	4760	+	FGOHFL_028		Cupredoxin domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1W1HNB8, UniRef:UniRef90_A0A7W1IX67
contig_6	cds	4761	4934	-	FGOHFL_029		hypothetical protein	
contig_6	cds	5075	6658	-	FGOHFL_030		PLP-dependent aminotransferase family protein	KEGG:K00375, SO:0001217, UniRef:UniRef50_A0A7V9UV58, UniRef:UniRef90_A0A7W1IXW2
contig_6	cds	7060	7770	+	FGOHFL_031		TetR/AcrR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A7W1VET2, UniRef:UniRef90_A0A7W1VET2
contig_6	cds	7790	8479	+	FGOHFL_032		HXXEE domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2T5G2C7, UniRef:UniRef90_A0A7W1ZK24
contig_6	cds	8715	9386	+	FGOHFL_033		Pyridoxamine 5'-phosphate oxidase family protein	SO:0001217, UniRef:UniRef50_K9ZBY9, UniRef:UniRef90_A0A7W1ZK43
contig_6	cds	9404	9661	+	FGOHFL_034		DUF1272 domain-containing protein	KEGG:K09984, SO:0001217, UniRef:UniRef50_A0A1D7TVU0, UniRef:UniRef90_A0A7W1ZK36
contig_6	cds	9721	10233	+	FGOHFL_035		OsmC-like protein	SO:0001217, UniRef:UniRef50_A0A165MWA6
contig_6	cds	10239	10739	+	FGOHFL_036		GNAT family N-acetyltransferase	SO:0001217, UniRef:UniRef50_A0A7W1VEJ1, UniRef:UniRef90_A0A7W1VEJ1
contig_6	cds	10828	11763	+	FGOHFL_037	eamA	EamA family transporter	SO:0001217, UniRef:UniRef50_A0A2V8SWB8, UniRef:UniRef90_A0A7W1ZKA2
contig_6	cds	11774	12244	+	FGOHFL_038	dinB	DinB family protein	SO:0001217, UniRef:UniRef50_A0A7W1ZKN2, UniRef:UniRef90_A0A7W1ZKN2
contig_6	cds	12281	13462	+	FGOHFL_039		Prolyl oligopeptidase family serine peptidase	SO:0001217, UniRef:UniRef50_A0A9E0VGB6
contig_6	cds	13886	14683	+	FGOHFL_040	blaOXA	class D beta-lactamase	EC:3.5.2.6, GO:0008800, GO:0030655, NCBIFam:NF012161.0, SO:0001217, UniRef:UniRef50_A0A3A0BZ56, UniRef:UniRef90_A0A7W1ZK27
