seqname,tax_id
10049269_len_293_MetaAn_67,c__Bacteroidia
10256508_len_294_MetaAn_65,f__Chitinophagaceae
10760663_len_309_MetaAn_4,c__Gammaproteobacteria
1093953_len_310_MetaAn_58,g__Sphingomicrobium
1120342_len_281_MetaAn_59,g__Sulfotelmatobacter
11317061_len_282_MetaAn_63,o__Burkholderiales
11546758_len_305_MetaAn_50,k__Bacteria
11639273_len_281_MetaAn_59,c__Terriglobia
1186868_len_302_MetaAn_61,c__Terriglobia
13023943_len_328_MetaAn_50,c__Vicinamibacteria
13341590_len_293_MetaAn_67,c__Bacteroidia
1390504_len_293_MetaAn_8,c__Bacteroidia
13972784_len_309_MetaAn_28,g__Sphingomicrobium
15516224_len_293_MetaAn_59,c__Bacteroidia
15849013_len_291_MetaAn_69,c__Terriglobia
16578501_len_293_MetaAn_59,s__Hanamia_sp023251335
16618402_len_302_MetaAn_65,f__Sphingomonadaceae
16890034_len_312_MetaAn_17,g__12-FULL-67-14b
16956569_len_293_MetaAn_9,g__Hanamia
17397035_len_302_MetaAn_65,f__Sphingomonadaceae
1771985_len_316_MetaAn_10,g__CALCHX01
1864848_len_293_MetaAn_9,f__Chitinophagaceae
1910646_len_281_MetaAn_59,g__BOG-234
19299645_len_359_MetaAn_62,f__Sphingomonadaceae
2032487_len_282_MetaAn_63,o__Xanthomonadales
21091_len_294_MetaAn_65,s__Hanamia_sp023251335
21612749_len_335_MetaAn_73,s__JALYOU01_sp030856725
22994402_len_294_MetaAn_65,f__Chitinophagaceae
23472700_len_300_MetaAn_68,o__Woeseiales
2379406_len_309_MetaAn_58,g__Sphingomicrobium
24459823_len_282_MetaAn_63,o__Xanthomonadales
24897760_len_310_MetaAn_68,g__UBA1847
25597236_len_340_MetaAn_3,o__Xanthomonadales
2599738_len_309_MetaAn_58,g__Sphingomicrobium
2673278_len_305_MetaAn_58,g__Sphingomicrobium
2729979_len_324_MetaAn_61,p__Acidobacteriota
27552520_len_293_MetaAn_50,k__Bacteria
27873091_len_307_MetaAn_63,g__Dokdonella
30337254_len_307_MetaAn_63,o__Xanthomonadales
3061646_len_305_MetaAn_67,p__Acidobacteriota
3068210_len_306_MetaAn_61,g__Sulfotelmatobacter
3070832_len_301_MetaAn_50,g__Acidoferrum
3149943_len_305_MetaAn_58,g__Sphingomicrobium
3214603_len_342_MetaAn_63,g__Rubrivirga
32520007_len_292_MetaAn_61,s__PALSA-350_sp003152195
32554434_len_300_MetaAn_62,f__Xanthomonadaceae
3275363_len_333_MetaAn_10,s__Dokdonella_sp029561145
34577909_len_294_MetaAn_65,s__Hanamia_sp023251335
34839612_len_294_MetaAn_65,s__Hanamia_sp023251335
3550893_len_310_MetaAn_8,s__Hanamia_sp023251335
357478_len_306_MetaAn_47,f__Sphingomonadaceae
37297952_len_332_MetaAn_50,o__Vicinamibacterales
3795181_len_310_MetaAn_58,g__Sphingomicrobium
382471_len_340_MetaAn_3,o__Xanthomonadales
3861684_len_309_MetaAn_58,g__Sphingomicrobium
39928447_len_332_MetaAn_50,k__Bacteria
4080767_len_335_MetaAn_73,g__JALYOU01
4247496_len_306_MetaAn_23,k__Bacteria
428002_len_293_MetaAn_59,c__Bacteroidia
433673_len_306_MetaAn_53,g__Sphingomicrobium
4392793_len_299_MetaAn_73,g__Sphingomicrobium
4519186_len_281_MetaAn_59,g__Acidoferrum
45507610_len_324_MetaAn_61,g__Acidoferrum
45804876_len_301_MetaAn_17,k__Bacteria
4587436_len_299_MetaAn_73,g__Sphingomicrobium
4677385_len_309_MetaAn_58,g__Sphingomicrobium
4747673_len_294_MetaAn_65,s__Hanamia_sp023251335
5036653_len_309_MetaAn_58,g__Sphingomicrobium
5066244_len_299_MetaAn_73,g__Sphingomicrobium
52487140_len_292_MetaAn_61,o__Steroidobacterales
5250343_len_316_MetaAn_10,k__Bacteria
5424715_len_302_MetaAn_54,g__Acidoferrum
5498482_len_309_MetaAn_58,g__Sphingomicrobium
6170116_len_285_MetaAn_57,s__Sphingomicrobium_sp026785645
6333904_len_309_MetaAn_64,g__Sphingomicrobium
7551706_len_307_MetaAn_2,f__Xanthomonadaceae
7687177_len_317_MetaAn_57,g__Sphingomicrobium
7721579_len_363_MetaAn_3,o__Xanthomonadales
8095288_len_309_MetaAn_4,f__Xanthomonadaceae
8367645_len_310_MetaAn_20,f__Xanthomonadaceae
8425597_len_308_MetaAn_74,f__Cyclobacteriaceae
8729096_len_306_MetaAn_47,f__Sphingomonadaceae
9807939_len_353_MetaAn_3,g__Dokdonella
9854109_len_297_MetaAn_65,f__Chitinophagaceae
B3SU1-1,f__Sphingomonadaceae
B3SU2-1,p__Acidobacteriota
LRA12-1,f__Chitinophagaceae
LRA3-1,k__Bacteria
LRA3-2,k__Bacteria
LRA7-2,k__Bacteria
PJM-1,g__Pseudoxanthomonas
