seqname,tax_id
1026214_len_303_MetaAn_21,c__Bacteroidia
11158066_len_350_MetaAn_17,c__Actinomycetes
11671458_len_355_MetaAn_23,o__Pyrinomonadales
14048242_len_337_MetaAn_74,o__Pyrinomonadales
14482245_len_325_MetaAn_31,s__JACCYN01_sp013696465
14995492_len_305_MetaAn_23,p__Bacteroidota
15324405_len_325_MetaAn_31,s__JACCYN01_sp013696465
17031532_len_303_MetaAn_10,p__Bacteroidota
17286107_len_322_MetaAn_74,o__Pyrinomonadales
1736690_len_278_MetaAn_9,k__Bacteria
1842986_len_304_MetaAn_65,o__Pyrinomonadales
19149491_len_317_MetaAn_17,k__Bacteria
19371791_len_295_MetaAn_23,f__Weeksellaceae
25348855_len_297_MetaAn_1,f__UBA10450
26562918_len_325_MetaAn_74,o__Pyrinomonadales
2659200_len_292_MetaAn_8,c__Eremiobacteria
27584881_len_323_MetaAn_74,k__Bacteria
29092992_len_304_MetaAn_65,o__Pyrinomonadales
29793731_len_333_MetaAn_17,o__Pyrinomonadales
31363163_len_337_MetaAn_74,k__Bacteria
31928617_len_295_MetaAn_3,g__Kaistella
3945633_len_295_MetaAn_57,f__UBA10450
39657678_len_328_MetaAn_74,f__Cyclobacteriaceae
445188_len_295_MetaAn_57,f__UBA10450
4519639_len_295_MetaAn_57,f__UBA10450
46662723_len_317_MetaAn_17,o__Pyrinomonadales
4754110_len_319_MetaAn_65,g__Bradyrhizobium
4801576_len_297_MetaAn_66,g__Kaistella
5100200_len_316_MetaAn_68,g__Sphingorhabdus
5852343_len_296_MetaAn_66,g__Kaistella
5862689_len_310_MetaAn_66,g__Kaistella
61851565_len_295_MetaAn_50,f__UBA10450
6784295_len_355_MetaAn_23,k__Bacteria
8033354_len_317_MetaAn_17,k__Bacteria
891403_len_299_MetaAn_83,c__Alphaproteobacteria
9605961_len_304_MetaAn_74,k__Bacteria
9657604_len_299_MetaAn_8,k__Bacteria
9869137_len_313_MetaAn_7,k__Bacteria
CAE-1,f__Chthoniobacteraceae
CARB-16,g__Psychrobacter
NLA-1,f__Pseudonocardiaceae
SPA_MetaAn_17_l285_st714_e1568_se1_ID=173183_2,k__Bacteria
SPA_MetaAn_17_l296_st2112_e2999_se1_ID=43852_3,g__Pseudonocardia
SPA_MetaAn_17_l315_st2386_e3330_se1_ID=52059_4,g__Amycolatopsis
SPA_MetaAn_17_l317_st346_e1296_se1_ID=17374_2,o__Pyrinomonadales
SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3,o__Pyrinomonadales
SPA_MetaAn_17_l337_st902_e1912_se-1_ID=125791_2,k__Bacteria
SPA_MetaAn_1_l293_st549_e1427_se1_ID=40052_2,g__Kaistella
SPA_MetaAn_1_l295_st1080_e1964_se-1_ID=57481_3,g__Kaistella
SPA_MetaAn_1_l295_st279_e1163_se-1_ID=13422_2,f__UBA10450
SPA_MetaAn_1_l298_st8406_e9299_se-1_ID=2894_10,g__Kaistella
SPA_MetaAn_1_l301_st136_e1038_se-1_ID=141397_2,o__Gemmatimonadales
SPA_MetaAn_1_l302_st502_e1407_se1_ID=35628_3,f__UBA10450
SPA_MetaAn_20_l300_st1322_e2221_se1_ID=9070_2,g__Stenotrophomonas
SPA_MetaAn_21_l305_st122_e1036_se1_ID=27399_2,p__Bacteroidota
SPA_MetaAn_21_l314_st358_e1299_se-1_ID=13580_3,g__OLB17
SPA_MetaAn_21_l344_st272_e1303_se-1_ID=51273_2,g__OLB17
SPA_MetaAn_23_l302_st645_e1550_se1_ID=49464_2,k__Bacteria
SPA_MetaAn_23_l302_st823_e1728_se-1_ID=38212_3,k__Bacteria
SPA_MetaAn_23_l308_st39184_e40107_se-1_ID=195_42,g__Sphingorhabdus
SPA_MetaAn_23_l322_st4168_e5133_se-1_ID=11371_6,f__Cyclobacteriaceae
SPA_MetaAn_24_l322_st2003_e2968_se-1_ID=9394_3,o__Pyrinomonadales
SPA_MetaAn_25_l303_st211_e1119_se-1_ID=57864_2,o__Pyrinomonadales
SPA_MetaAn_26_l303_st257_e1165_se1_ID=57252_2,k__Bacteria
SPA_MetaAn_28_l287_st261_e1121_se1_ID=42948_1,f__Chthoniobacteraceae
SPA_MetaAn_28_l308_st97_e1020_se-1_ID=29641_1,g__Sphingorhabdus
SPA_MetaAn_30_l304_st264_e1175_se1_ID=142871_2,o__Pyrinomonadales
SPA_MetaAn_31_l292_st13597_e14472_se-1_ID=1500_17,s__JACCTI01_sp013697365
SPA_MetaAn_32_l313_st176_e1114_se1_ID=121067_1,f__Pseudonocardiaceae
SPA_MetaAn_32_l316_st204_e1151_se1_ID=122933_2,o__Pyrinomonadales
SPA_MetaAn_33_l296_st220_e1107_se1_ID=88023_2,o__Pyrinomonadales
SPA_MetaAn_33_l305_st116_e1030_se-1_ID=122308_2,o__Pyrinomonadales
SPA_MetaAn_34_l272_st18_e833_se-1_ID=103971_1,k__Bacteria
SPA_MetaAn_34_l303_st116_e1024_se-1_ID=37528_1,o__Pyrinomonadales
SPA_MetaAn_3_l288_st172_e1035_se1_ID=176893_2,s__Lysobacter
SPA_MetaAn_3_l295_st2044_e2928_se-1_ID=12539_4,f__Weeksellaceae
SPA_MetaAn_3_l295_st88_e972_se1_ID=28541_1,g__Kaistella
SPA_MetaAn_3_l302_st121_e1026_se1_ID=150541_1,p__Bacteroidota
SPA_MetaAn_59_l318_st352_e1305_se-1_ID=31946_2,c__Bacteroidia
SPA_MetaAn_5_l282_st5192_e6037_se1_ID=4043_6,f__UBA10450
SPA_MetaAn_5_l287_st2253_e3113_se-1_ID=11060_2,k__Bacteria
SPA_MetaAn_5_l297_st1414_e2304_se1_ID=7995_3,f__UBA10450
SPA_MetaAn_5_l306_st1047_e1964_se1_ID=26657_2,k__Bacteria
SPA_MetaAn_62_l283_st602_e1450_se1_ID=20927_3,f__UBA10450
SPA_MetaAn_62_l291_st178_e1050_se1_ID=48827_2,f__UBA10450
SPA_MetaAn_62_l297_st134_e1024_se1_ID=101796_1,k__Bacteria
SPA_MetaAn_62_l297_st1821_e2711_se1_ID=12640_3,k__Bacteria
SPA_MetaAn_62_l303_st2415_e3323_se-1_ID=27868_4,o__Pyrinomonadales
SPA_MetaAn_62_l303_st25958_e26866_se1_ID=173_35,o__Pyrinomonadales
SPA_MetaAn_63_l307_st287_e1207_se1_ID=134578_2,p__Pseudomonadota
SPA_MetaAn_64_l291_st1318_e2190_se1_ID=28445_4,g__Pseudolabrys
SPA_MetaAn_65_l291_st686_e1558_se-1_ID=5670_2,f__UBA10450
SPA_MetaAn_66_l296_st1278_e2165_se1_ID=3938_3,g__Kaistella
SPA_MetaAn_66_l299_st3103_e3999_se-1_ID=2494_4,s__DAHUXN01_sp027307115
SPA_MetaAn_70_l295_st1206_e2090_se1_ID=7630_3,g__Kaistella
SPA_MetaAn_70_l300_st103_e1002_se1_ID=31327_2,k__Bacteria
SPA_MetaAn_71_l318_st303_e1256_se1_ID=1970_2,o__Pyrinomonadales
SPA_MetaAn_73_l299_st2196_e3092_se1_ID=14218_4,c__Bacteroidia
SPA_MetaAn_73_l320_st614_e1573_se1_ID=75642_2,k__Bacteria
SPA_MetaAn_74_l294_st1336_e2217_se-1_ID=24560_3,g__Variovorax
SPA_MetaAn_74_l303_st120_e1028_se1_ID=10415_2,o__Pyrinomonadales
SPA_MetaAn_74_l303_st316_e1224_se1_ID=154258_1,o__Pyrinomonadales
SPA_MetaAn_74_l314_st148_e1089_se-1_ID=108784_1,k__Bacteria
SPA_MetaAn_74_l320_st2570_e3529_se1_ID=15044_3,s__JACCTI01_sp013820755
SPA_MetaAn_74_l324_st62675_e63646_se1_ID=167_65,s__JACCYN01_sp013696465
SPA_MetaAn_74_l332_st143_e1138_se-1_ID=39442_2,o__Pyrinomonadales
SPA_MetaAn_74_l344_st43490_e44521_se-1_ID=222_34,o__Pyrinomonadales
SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2,g__OLB17
SPA_MetaAn_75_l272_st221_e1036_se-1_ID=8364_2,f__UBA10450
SPA_MetaAn_76_l305_st322_e1236_se-1_ID=47622_2,k__Bacteria
SPA_MetaAn_77_l291_st4627_e5499_se1_ID=3751_7,f__Burkholderiaceae
SPA_MetaAn_77_l293_st482_e1360_se-1_ID=44178_2,g__Halpernia
SPA_MetaAn_77_l302_st4132_e5037_se1_ID=286_3,g__Ferruginibacter
SPA_MetaAn_77_l328_st754_e1737_se-1_ID=32869_2,s__Noviherbaspirillum
SPA_MetaAn_7_l302_st145_e1050_se1_ID=113997_2,s__Flavobacterium_sediminilitoris
SPA_MetaAn_82_l279_st3653_e4489_se1_ID=20205_5,f__UBA10450
SPA_MetaAn_82_l289_st3986_e4852_se-1_ID=14916_7,f__UBA10450
SPA_MetaAn_83_l241_st1817_e2539_se1_ID=28230_3,g__Palsa-1392
SPA_MetaAn_83_l280_st202_e1041_se-1_ID=62073_2,f__UBA10450
SPA_MetaAn_83_l298_st2773_e3666_se1_ID=4968_3,f__Xanthobacteraceae
SPA_MetaAn_84_l295_st16977_e17861_se-1_ID=318_18,f__UBA10450
SPA_MetaAn_84_l297_st33_e923_se-1_ID=122061_1,g__Palsa-1392
SPA_MetaAn_8_l299_st384_e1280_se-1_ID=50615_2,k__Bacteria
