# Annotated with Bakta
# Software: v1.10.1
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	58	795	+	FGOHFL_001	480.0	1.4e-170	1.122	0.917	0.891	UniRef:UniRef90_P0A1V9
contig_2	cds	515	1315	-	FGOHFL_002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_G3G9W7
contig_2	cds	1522	1770	-	FGOHFL_003	110.0	2.3e-30	0.976	0.976	0.738	UniRef:UniRef90_UPI00069D0259
contig_2	cds	1999	2952	+	FGOHFL_004	614.0	1.7e-221	1.0	0.922	0.991	UniRef:UniRef90_UPI0009FE84E9
contig_2	cds	3057	3470	+	FGOHFL_005	263.0	3.6e-89	1.0	1.0	0.934	UniRef:UniRef90_UPI0004843ABC
contig_2	cds	3630	4361	+	FGOHFL_006	454.0	5.4e-161	1.0	1.0	0.901	UniRef:UniRef90_A0A2U1C1V0
contig_2	cds	4378	5397	+	FGOHFL_007	447.0	2.9e-155	1.012	1.012	0.764	UniRef:UniRef90_UPI000484DBED
contig_2	cds	5456	6085	+	FGOHFL_008	311.0	7.4e-106	1.005	0.995	0.776	UniRef:UniRef90_UPI00068B7F87
contig_2	cds	6082	7647	+	FGOHFL_009	896.0	0.0	1.006	1.0	0.872	UniRef:UniRef90_UPI00145EC1A8
contig_2	cds	7931	8200	+	FGOHFL_010	-	-	-	-	-	-
contig_2	cds	8184	8804	+	FGOHFL_011	375.0	5.7e-131	0.985	0.985	0.911	UniRef:UniRef90_A0A1F4LFB0
contig_2	cds	8882	10696	+	FGOHFL_012	1118.0	0.0	0.997	0.980	0.912	UniRef:UniRef90_K0HNY1
contig_2	cds	10893	11642	+	FGOHFL_013	500.0	3.0e-179	1.0	1.0	0.968	UniRef:UniRef90_UPI0004861D12
contig_2	cds	11678	12922	+	FGOHFL_014	637.0	5.9e-228	1.0	1.020	0.792	UniRef:UniRef90_UPI00048A2C87
