contig	qseqid	qstart	qend	sseqid	slen	Protein_Class	Protein_Cluster	Protein_Family
ERR4183125_contigs.fasta	NODE_108717_length_1102_cov_15.200573	1087	305	27873091_len_307_MetaAn_63	307	B3	B3-V	Undefined
ERR4183125_contigs.fasta	NODE_114725_length_1062_cov_36.192651	962	231	SPA_MetaAn_7_l244_st841_e1572_se-1_ID=76957_2	244	B1	B1-I	Undefined
ERR4183125_contigs.fasta	NODE_116523_length_1051_cov_7.533133	1030	287	SPA_MetaAn_3_l250_st354_e1103_se-1_ID=35239_1	250	B1	B1-III	Undefined
ERR4183125_contigs.fasta	NODE_1414_length_17043_cov_25.401695	361	1161	SPA_MetaAn_29_l286_st2499_e3356_se-1_ID=17789_3	286	B3	B3-I	Undefined
ERR4183125_contigs.fasta	NODE_18814_length_3632_cov_3.697512	435	1193	23397207_len_254_MetaAn_9	254	B1	B1-III	Undefined
ERR4183125_contigs.fasta	NODE_3733_length_10094_cov_46.418468	2	760	22690222_len_272_MetaAn_10	272	B1	B1-III	Undefined
ERR4183125_contigs.fasta	NODE_418_length_29391_cov_5.761181	6905	7849	1771985_len_316_MetaAn_10	316	B3	B3-V	Undefined
ERR4183125_contigs.fasta	NODE_46466_length_1976_cov_19.504945	178	975	SPA_MetaAn_10_l266_st178_e975_se1_ID=46466_1	266	B1	B1-III	Undefined
ERR4183125_contigs.fasta	NODE_46510_length_1975_cov_29.020833	1452	598	SPA_MetaAn_29_l286_st2499_e3356_se-1_ID=17789_3	286	B3	B3-I	Undefined
ERR4183125_contigs.fasta	NODE_52814_length_1810_cov_5.323077	919	1809	17031532_len_303_MetaAn_10	303	A	A-II	Undefined
ERR4183125_contigs.fasta	NODE_53686_length_1790_cov_15.040346	156	956	18804218_len_268_MetaAn_10	268	B1	B1-III	Undefined
ERR4183125_contigs.fasta	NODE_86358_length_1292_cov_9.304770	912	166	SPA_MetaAn_3_l250_st354_e1103_se-1_ID=35239_1	250	B1	B1-III	Undefined
ERR4183125_contigs.fasta	NODE_95782_length_1203_cov_9.625436	52	897	30337254_len_307_MetaAn_63	307	B3	B3-V	Undefined
ERR4183125_contigs.fasta	NODE_95782_length_1203_cov_9.625436	1	903	3275363_len_333_MetaAn_10	333	B3	B3-V	Undefined
ERR4183125_contigs.fasta	NODE_97968_length_1185_cov_11.398230	328	1086	973004_len_254_MetaAn_57	254	B1	B1-III	Undefined
ERR5891194_contigs.fasta	NODE_2403_length_6153_cov_3.463431	1363	2202	SPA_MetaAn_29_l286_st2499_e3356_se-1_ID=17789_3	286	B3	B3-I	Undefined
ERR5891194_contigs.fasta	NODE_27318_length_1297_cov_1.392110	1293	631	9857620_len_271_MetaAn_3	271	B1	B1-III	Undefined
ERR5891194_contigs.fasta	NODE_27318_length_1297_cov_1.392110	1296	634	22944373_len_268_MetaAn_3	268	B1	B1-III	Undefined
ERR5891194_contigs.fasta	NODE_4071_length_4212_cov_3.297089	1938	2639	3249892_len_245_MetaAn_57	245	B1	B1-III	Undefined
ERR5891194_contigs.fasta	NODE_4071_length_4212_cov_3.297089	1920	2669	13840631_len_254_MetaAn_9	254	B1	B1-III	Undefined
ERR5891194_contigs.fasta	NODE_8342_length_2614_cov_1.960922	1370	669	SPA_MetaAn_29_l286_st2499_e3356_se-1_ID=17789_3	286	B3	B3-I	Undefined
ERR5891194_contigs.fasta	NODE_8635_length_2563_cov_2.231260	1220	2389	SPA_MetaAn_16_l390_st1220_e2389_se1_ID=8635_3	390	C	C-I	Undefined
SRR5881985_contigs.fasta	NODE_10100_length_8875_cov_13.648639	6540	5668	23181725_len_292_MetaAn_17	292	D	D-I	Undefined
SRR5881985_contigs.fasta	NODE_119899_length_2156_cov_3.005236	951	1856	3795181_len_310_MetaAn_58	310	B3	B3-V	Undefined
SRR5881985_contigs.fasta	NODE_119899_length_2156_cov_3.005236	954	1868	SPA_MetaAn_17_l305_st954_e1868_se1_ID=119899_3	305	B3	B3-V	Undefined
SRR5881985_contigs.fasta	NODE_120899_length_2145_cov_6.006220	482	1339	50151731_len_310_MetaAn_17	310	D	D-III	Undefined
SRR5881985_contigs.fasta	NODE_125791_length_2095_cov_2.324020	1912	902	SPA_MetaAn_17_l337_st902_e1912_se-1_ID=125791_2	337	A	A-I	Undefined
SRR5881985_contigs.fasta	NODE_155_length_50457_cov_6.283977	2880	3812	SPA_MetaAn_17_l311_st2880_e3812_se1_ID=155_3	311	B3	B3-V	Undefined
SRR5881985_contigs.fasta	NODE_156286_length_1839_cov_8.979260	390	1334	26562918_len_325_MetaAn_74	325	A	A-I	Undefined
SRR5881985_contigs.fasta	NODE_156286_length_1839_cov_8.979260	354	1349	29793731_len_333_MetaAn_17	333	A	A-I	Undefined
SRR5881985_contigs.fasta	NODE_173183_length_1729_cov_5.042413	645	1550	11671458_len_355_MetaAn_23	355	A	A-II	Undefined
SRR5881985_contigs.fasta	NODE_173183_length_1729_cov_5.042413	660	1568	SPA_MetaAn_34_l303_st116_e1024_se-1_ID=37528_1	303	A	A-II	Undefined
SRR5881985_contigs.fasta	NODE_17374_length_6579_cov_4.134733	346	1296	SPA_MetaAn_17_l317_st346_e1296_se1_ID=17374_2	317	A	A-I	Undefined
SRR5881985_contigs.fasta	NODE_253050_length_1377_cov_1.918306	1326	427	45804876_len_301_MetaAn_17	301	B3	B3-III	Undefined
SRR5881985_contigs.fasta	NODE_258418_length_1359_cov_8.796779	388	1347	SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3	320	A	A-I	Undefined
SRR5881985_contigs.fasta	NODE_26834_length_5144_cov_3.952053	4958	4023	16890034_len_312_MetaAn_17	312	B3	B3-III	Undefined
SRR5881985_contigs.fasta	NODE_26834_length_5144_cov_3.952053	4955	4026	SPA_MetaAn_25_l314_st245_e1186_se-1_ID=93904_2	314	B3	B3-III	Undefined
SRR5881985_contigs.fasta	NODE_307742_length_1224_cov_1.327630	1223	489	2673278_len_305_MetaAn_58	305	B3	B3-V	Undefined
SRR5881985_contigs.fasta	NODE_40095_length_4097_cov_2.180851	2552	1629	SPA_MetaAn_17_l308_st1629_e2552_se-1_ID=40095_5	308	B3	B3-V	Undefined
SRR5881985_contigs.fasta	NODE_43852_length_3889_cov_3.014867	2112	2999	SPA_MetaAn_17_l296_st2112_e2999_se1_ID=43852_3	296	A	A-IV	Undefined
SRR5881985_contigs.fasta	NODE_444736_length_981_cov_7.750540	980	264	16189565_len_246_MetaAn_17	246	B1	B1-I	Undefined
SRR5881985_contigs.fasta	NODE_45924_length_3784_cov_2.218289	905	105	850015_len_267_MetaAn_74	267	D	D-III	Undefined
SRR5881985_contigs.fasta	NODE_470382_length_950_cov_1.486034	950	93	SPA_MetaAn_74_l303_st120_e1028_se1_ID=10415_2	303	A	A-II	Undefined
SRR5881985_contigs.fasta	NODE_52059_length_3521_cov_7.168494	2284	3330	11158066_len_350_MetaAn_17	350	A	A-IV	Undefined
SRR5881985_contigs.fasta	NODE_573831_length_845_cov_1.368354	15	755	SPA_MetaAn_22_l286_st190_e1047_se-1_ID=33691_2	286	D	D-I	Undefined
SRR5881985_contigs.fasta	NODE_61119_length_3206_cov_4.543320	955	1797	SPA_MetaAn_69_l301_st11_e913_se-1_ID=149249_1	301	B3	B3-IV	Undefined
SRR5881985_contigs.fasta	NODE_61119_length_3206_cov_4.543320	970	1809	SPA_MetaAn_61_l302_st2155_e3060_se-1_ID=52238_3	302	B3	B3-IV	Undefined
SRR5881985_contigs.fasta	NODE_61119_length_3206_cov_4.543320	964	1812	11546758_len_305_MetaAn_50	305	B3	B3-IV	Undefined
SRR5881985_contigs.fasta	NODE_61119_length_3206_cov_4.543320	937	1824	SPA_MetaAn_31_l296_st1278_e2165_se1_ID=66015_2	296	B3	B3-IV	Undefined
SRR5881985_contigs.fasta	NODE_63455_length_3138_cov_2.543626	1477	2421	SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3	320	A	A-I	Undefined
