#Annotated with Bakta v1.10.1, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	6082	7647	+	FGOHFL_009	59.8	6.7	PF03109.20|ABC1	PFAM:PF03109.20
contig_2	7931	8200	+	FGOHFL_010	10.2	12.0		
contig_5	989	3058	-	FGOHFL_022	74.2	6.5		SO:0001217, UniRef:UniRef50_A0A7V9Q4T4
contig_6	4761	4934	-	FGOHFL_029	6.4	8.1		
contig_6	17789	18130	+	FGOHFL_045	13.1	8.6		
contig_7	9706	9921	-	FGOHFL_057	7.9	6.9		
contig_7	9918	10205	-	FGOHFL_058	10.7	11.3		
contig_7	10556	11017	-	FGOHFL_059	17.4	7.9		SO:0001217, UniRef:UniRef50_A0A0D7NXY2
contig_7	17329	17706	-	FGOHFL_065	13.7	8.7		
contig_7	17892	18095	-	FGOHFL_066	7.4	11.9	PF02796.19|HTH_7, PF09339.14|HTH_IclR	PFAM:PF02796.19, PFAM:PF09339.14
contig_7	18291	18539	-	FGOHFL_067	8.9	9.1		
contig_7	19126	19458	+	FGOHFL_068	12.7	6.7		
contig_7	19419	19841	+	FGOHFL_069	16.2	10.9		
contig_7	20176	20472	-	FGOHFL_071	11.2	8.6		
contig_7	20691	21650	-	FGOHFL_072	35.5	9.5	PF02522.18|Antibiotic_NAT	PFAM:PF02522.18
contig_8	498	905	-	FGOHFL_078	15.1	5.4		
contig_8	3091	3264	+	FGOHFL_082	6.3	11.7		
contig_8	3852	4814	-	FGOHFL_084	36.2	9.0		
