/21243713_len_452_MetaAn_63.pdb:A	L=450	d0=7.60	seqID=0.102	TM-score=0.44889
/24650641_len_391_MetaAn_62.pdb:A	L=389	d0=7.13	seqID=0.113	TM-score=0.51042
/6548509_len_401_MetaAn_66.pdb:A	L=399	d0=7.21	seqID=0.116	TM-score=0.50166
/ACT-124.pdb:A	L=381	d0=7.07	seqID=0.128	TM-score=0.51193
/AMZ-1.pdb:A	L=396	d0=7.19	seqID=0.114	TM-score=0.50635
/CMY-182.pdb:A	L=381	d0=7.07	seqID=0.131	TM-score=0.51877
/FOX-9.pdb:A	L=382	d0=7.08	seqID=0.130	TM-score=0.51381
/PDC-250.pdb:A	L=397	d0=7.20	seqID=0.122	TM-score=0.50391
/PRC-1.pdb:A	L=379	d0=7.05	seqID=0.115	TM-score=0.51723
/YEC-1.pdb:A	L=388	d0=7.13	seqID=0.111	TM-score=0.50320
/ACT-13.pdb:A	L=381	d0=7.07	seqID=0.125	TM-score=0.50970
/ADC-225.pdb:A	L=384	d0=7.09	seqID=0.113	TM-score=0.51217
/AQU-1.pdb:A	L=380	d0=7.06	seqID=0.131	TM-score=0.50926
/CMY-54.pdb:A	L=383	d0=7.09	seqID=0.132	TM-score=0.51527
/IDC-1.pdb:A	L=395	d0=7.18	seqID=0.119	TM-score=0.50657
/MOX-5.pdb:A	L=383	d0=7.09	seqID=0.127	TM-score=0.51002
/PDC-418.pdb:A	L=378	d0=7.05	seqID=0.128	TM-score=0.51565
/PSZ-1.pdb:A	L=379	d0=7.05	seqID=0.124	TM-score=0.51600
/YOC-1.pdb:A	L=385	d0=7.10	seqID=0.130	TM-score=0.51237
/AQU-10.pdb:A	L=385	d0=7.10	seqID=0.132	TM-score=0.50788
/EC-241.pdb:A	L=380	d0=7.06	seqID=0.130	TM-score=0.51737
/RHO-1.pdb:A	L=380	d0=7.06	seqID=0.117	TM-score=0.52365
/YRC-1.pdb:A	L=383	d0=7.09	seqID=0.126	TM-score=0.52137
/ACT-17.pdb:A	L=381	d0=7.07	seqID=0.131	TM-score=0.51579
/LAQ-1.pdb:A	L=380	d0=7.06	seqID=0.134	TM-score=0.51730
/RSC1-1.pdb:A	L=396	d0=7.19	seqID=0.121	TM-score=0.50921
/CSA-1.pdb:A	L=375	d0=7.02	seqID=0.117	TM-score=0.52236
/MOX-8.pdb:A	L=383	d0=7.09	seqID=0.131	TM-score=0.51061
/PDC-75.pdb:A	L=371	d0=6.99	seqID=0.134	TM-score=0.53377
/SFDC-1.pdb:A	L=382	d0=7.08	seqID=0.129	TM-score=0.51854
/ADC-264.pdb:A	L=383	d0=7.09	seqID=0.114	TM-score=0.50970
/ADC-335.pdb:A	L=383	d0=7.09	seqID=0.117	TM-score=0.51494
/ASA3-26.pdb:A	L=383	d0=7.09	seqID=0.130	TM-score=0.51298
/MOX-9.pdb:A	L=383	d0=7.09	seqID=0.132	TM-score=0.51288
/PDC-76.pdb:A	L=371	d0=6.99	seqID=0.134	TM-score=0.53286
/SGC-1.pdb:A	L=378	d0=7.05	seqID=0.119	TM-score=0.51907
/12883219_len_391_MetaAn_8.pdb:A	L=389	d0=7.13	seqID=0.115	TM-score=0.50854
/ACT-22.pdb:A	L=381	d0=7.07	seqID=0.133	TM-score=0.51724
/CepH.pdb:A	L=382	d0=7.08	seqID=0.129	TM-score=0.50530
/MYCC1-1.pdb:A	L=380	d0=7.06	seqID=0.118	TM-score=0.51040
/SLC-2.pdb:A	L=378	d0=7.05	seqID=0.116	TM-score=0.51915
/AQU-15.pdb:A	L=380	d0=7.06	seqID=0.133	TM-score=0.51207
/CepS.pdb:A	L=382	d0=7.08	seqID=0.127	TM-score=0.50480
/LHK-3.pdb:A	L=390	d0=7.14	seqID=0.111	TM-score=0.50501
/OCH-1.pdb:A	L=390	d0=7.14	seqID=0.123	TM-score=0.51178
/ADC-340.pdb:A	L=389	d0=7.13	seqID=0.112	TM-score=0.51245
/CMY-26.pdb:A	L=381	d0=7.07	seqID=0.131	TM-score=0.51736
/DHA-12.pdb:A	L=379	d0=7.05	seqID=0.125	TM-score=0.52006
/OCH-11.pdb:A	L=384	d0=7.09	seqID=0.124	TM-score=0.52272
/PDC-81.pdb:A	L=371	d0=6.99	seqID=0.134	TM-score=0.53338
/ADC-234.pdb:A	L=382	d0=7.08	seqID=0.116	TM-score=0.51554
/SPA_MetaAn_16_l390_st1220_e2389_se1_ID=8635_3.pdb:A	L=389	d0=7.13	seqID=0.113	TM-score=0.51238
/ADC-235.pdb:A	L=387	d0=7.12	seqID=0.113	TM-score=0.51028
/AQU-18.pdb:A	L=381	d0=7.07	seqID=0.131	TM-score=0.50666
/PDC-85.pdb:A	L=371	d0=6.99	seqID=0.134	TM-score=0.53418
/SPA_MetaAn_21_l392_st14638_e15813_se1_ID=159_17.pdb:A	L=391	d0=7.15	seqID=0.117	TM-score=0.51081
/LRA10-1.pdb:A	L=375	d0=7.02	seqID=0.127	TM-score=0.52227
/SPA_MetaAn_2_l390_st11201_e12370_se1_ID=2896_12.pdb:A	L=389	d0=7.13	seqID=0.124	TM-score=0.50783
/ADC-8.pdb:A	L=397	d0=7.20	seqID=0.112	TM-score=0.50650
/LRA18-1.pdb:A	L=386	d0=7.11	seqID=0.124	TM-score=0.51328
/EC-P67.pdb:A	L=388	d0=7.13	seqID=0.126	TM-score=0.51169
/LYL-1.pdb:A	L=385	d0=7.10	seqID=0.119	TM-score=0.51677
/SPA_MetaAn_61_l394_st2461_e3642_se-1_ID=18709_3.pdb:A	L=393	d0=7.17	seqID=0.120	TM-score=0.50747
/ACC-1b.pdb:A	L=390	d0=7.14	seqID=0.113	TM-score=0.50566
/AQU-3.pdb:A	L=380	d0=7.06	seqID=0.134	TM-score=0.51091
/AsbA1.pdb:A	L=382	d0=7.08	seqID=0.127	TM-score=0.51148
/MCA-1.pdb:A	L=390	d0=7.14	seqID=0.111	TM-score=0.50626
/PDC-89.pdb:A	L=368	d0=6.96	seqID=0.135	TM-score=0.53573
/BUT-1.pdb:A	L=383	d0=7.09	seqID=0.129	TM-score=0.51527
/PAC-1.pdb:A	L=381	d0=7.07	seqID=0.113	TM-score=0.51566
/SPA_MetaAn_83_l435_st3519_e4823_se1_ID=6932_4.pdb:A	L=434	d0=7.48	seqID=0.110	TM-score=0.46382
/EC-1850.pdb:A	L=376	d0=7.03	seqID=0.134	TM-score=0.52179
/EDC-1.pdb:A	L=386	d0=7.11	seqID=0.127	TM-score=0.51153
/PDC-91.pdb:A	L=367	d0=6.96	seqID=0.136	TM-score=0.53560
/SPA_MetaAn_8_l396_st215_e1402_se1_ID=54894_1.pdb:A	L=395	d0=7.18	seqID=0.117	TM-score=0.50693
/EC-68.pdb:A	L=381	d0=7.07	seqID=0.131	TM-score=0.51764
/ERH-1.pdb:A	L=379	d0=7.05	seqID=0.120	TM-score=0.50463
/SPC-1.pdb:A	L=378	d0=7.05	seqID=0.116	TM-score=0.51995
/Ear-1.pdb:A	L=381	d0=7.07	seqID=0.133	TM-score=0.51731
/ACC-P3.pdb:A	L=377	d0=7.04	seqID=0.113	TM-score=0.50031
/CDA-3.pdb:A	L=383	d0=7.09	seqID=0.131	TM-score=0.51442
/CMY-37.pdb:A	L=381	d0=7.07	seqID=0.133	TM-score=0.51856
/MOX-1.pdb:A	L=382	d0=7.08	seqID=0.131	TM-score=0.51068
/PDC-320.pdb:A	L=398	d0=7.21	seqID=0.126	TM-score=0.50127
/ACT-C190.pdb:A	L=384	d0=7.09	seqID=0.132	TM-score=0.51338
/CFE-2.pdb:A	L=381	d0=7.07	seqID=0.129	TM-score=0.51452
/SRT-1.pdb:A	L=378	d0=7.05	seqID=0.118	TM-score=0.51998
/CHR-1.pdb:A	L=388	d0=7.13	seqID=0.120	TM-score=0.51294
/ACT-106.pdb:A	L=381	d0=7.07	seqID=0.126	TM-score=0.50616
/ACT-53.pdb:A	L=381	d0=7.07	seqID=0.130	TM-score=0.51704
/PFL-1.pdb:A	L=384	d0=7.09	seqID=0.123	TM-score=0.51147
/ACT-107.pdb:A	L=381	d0=7.07	seqID=0.131	TM-score=0.51696
/PDC-541.pdb:A	L=395	d0=7.18	seqID=0.127	TM-score=0.50463
/ASA3-14.pdb:A	L=382	d0=7.08	seqID=0.131	TM-score=0.50818
/CMH-12.pdb:A	L=381	d0=7.07	seqID=0.129	TM-score=0.51822
/ACT-C198.pdb:A	L=381	d0=7.07	seqID=0.130	TM-score=0.51480
/EC-270.pdb:A	L=374	d0=7.01	seqID=0.133	TM-score=0.52228
/PDC-243.pdb:A	L=404	d0=7.25	seqID=0.124	TM-score=0.49646
/SRT-C3.pdb:A	L=376	d0=7.03	seqID=0.113	TM-score=0.51039
/23210609_len_410_MetaAn_74.pdb:A	L=408	d0=7.28	seqID=0.117	TM-score=0.49444
/ADC-100.pdb:A	L=385	d0=7.10	seqID=0.113	TM-score=0.51129
/PLY-1.pdb:A	L=378	d0=7.05	seqID=0.115	TM-score=0.51481
/SUC-1.pdb:A	L=388	d0=7.13	seqID=0.116	TM-score=0.51217
/ACT-119.pdb:A	L=381	d0=7.07	seqID=0.128	TM-score=0.51092
/TRU-1.pdb:A	L=382	d0=7.08	seqID=0.123	TM-score=0.51188
/ACT-120.pdb:A	L=381	d0=7.07	seqID=0.127	TM-score=0.51609
/CMH-9.pdb:A	L=381	d0=7.07	seqID=0.130	TM-score=0.51651
/UCB-1.pdb:A	L=380	d0=7.06	seqID=0.118	TM-score=0.50580
/21647449_len_310_MetaAn_18.pdb:A	L=308	d0=6.44	seqID=0.153	TM-score=0.59302
/20136534_len_292_MetaAn_74.pdb:A	L=290	d0=6.26	seqID=0.154	TM-score=0.60865
/24402399_len_277_MetaAn_73.pdb:A	L=275	d0=6.11	seqID=0.152	TM-score=0.64964
/28238185_len_285_MetaAn_30.pdb:A	L=283	d0=6.19	seqID=0.162	TM-score=0.63824
/315337_len_290_MetaAn_69.pdb:A	L=288	d0=6.24	seqID=0.137	TM-score=0.61769
/7940051_len_285_MetaAn_26.pdb:A	L=283	d0=6.19	seqID=0.161	TM-score=0.63804
/OXA-1007.pdb:A	L=273	d0=6.09	seqID=0.151	TM-score=0.65443
/OXA-134.pdb:A	L=273	d0=6.09	seqID=0.150	TM-score=0.63737
/OXA-256.pdb:A	L=266	d0=6.02	seqID=0.152	TM-score=0.66973
/OXA-294.pdb:A	L=278	d0=6.14	seqID=0.153	TM-score=0.62690
/OXA-515.pdb:A	L=265	d0=6.01	seqID=0.153	TM-score=0.64931
/OXA-634.pdb:A	L=248	d0=5.83	seqID=0.160	TM-score=0.68828
/OXA-673.pdb:A	L=280	d0=6.16	seqID=0.150	TM-score=0.62201
/OXA-948.pdb:A	L=276	d0=6.12	seqID=0.153	TM-score=0.63257
/OXA-992.pdb:A	L=273	d0=6.09	seqID=0.154	TM-score=0.64781
/SPA_MetaAn_74_l285_st578_e1432_se-1_ID=96530_2.pdb:A	L=284	d0=6.20	seqID=0.145	TM-score=0.61568
