seqname,tax_id
11019355_len_287_MetaAn_74,k__Bacteria
12084204_len_260_MetaAn_24,k__Bacteria
12841857_len_260_MetaAn_24,k__Bacteria
1389175_len_299_MetaAn_25,o__Cyanobacteriales
14432592_len_273_MetaAn_74,f__Chitinophagaceae
14679019_len_277_MetaAn_73,s__Segetibacter_sp002050375
15168060_len_291_MetaAn_26,g__GCA-002050365
15416833_len_286_MetaAn_26,k__Bacteria
19072192_len_285_MetaAn_30,k__Bacteria
20374069_len_290_MetaAn_69,c__Alphaproteobacteria
22060248_len_300_MetaAn_30,g__Aliterella
23181725_len_292_MetaAn_17,s__JACDEG01_sp013816505
23837634_len_277_MetaAn_73,s__Segetibacter_sp002050375
25070859_len_292_MetaAn_74,s__GCA-002050365_sp030857305
25967795_len_291_MetaAn_62,c__Cyanobacteriia
2688882_len_281_MetaAn_67,f__Flavobacteriaceae
2863684_len_292_MetaAn_74,o__Pyrinomonadales
2914913_len_296_MetaAn_74,f__Chitinophagaceae
30925760_len_277_MetaAn_73,f__Chitinophagaceae
33482360_len_309_MetaAn_31,k__Bacteria
35772173_len_267_MetaAn_74,k__Bacteria
39110426_len_275_MetaAn_74,s__Segetibacter_koreensis
39384327_len_286_MetaAn_74,f__Chitinophagaceae
41110274_len_285_MetaAn_17,k__Bacteria
4199755_len_290_MetaAn_69,f__Xanthobacteraceae
42052192_len_273_MetaAn_74,s__Segetibacter_sp002050375
4609979_len_277_MetaAn_73,f__Chitinophagaceae
50151731_len_310_MetaAn_17,k__Bacteria
5390210_len_269_MetaAn_65,o__Pyrinomonadales
576430_len_310_MetaAn_18,k__Bacteria
850015_len_267_MetaAn_74,o__Pyrinomonadales
OXA-1091,f__Xanthobacteraceae
OXA-544,k__Bacteria
OXA-789,g__Achromobacter
OXA-957,o__Pyrinomonadales
SPA_MetaAn_22_l274_st2349_e3170_se1_ID=348_2,f__Rhodanobacteraceae
SPA_MetaAn_22_l286_st190_e1047_se-1_ID=33691_2,c__Cyanobacteriia
SPA_MetaAn_23_l274_st4435_e5256_se1_ID=9346_2,g__Flavobacterium
SPA_MetaAn_24_l292_st88_e963_se-1_ID=35039_1,o__Pyrinomonadales
SPA_MetaAn_26_l284_st266_e1117_se-1_ID=66992_2,k__Bacteria
SPA_MetaAn_26_l284_st311_e1162_se1_ID=42520_2,k__Bacteria
SPA_MetaAn_28_l294_st7089_e7970_se1_ID=6216_8,g__GCA-002050365
SPA_MetaAn_2_l266_st11775_e12572_se1_ID=1351_14,k__Bacteria
SPA_MetaAn_31_l282_st5526_e6371_se-1_ID=397_7,p__Pseudomonadota
SPA_MetaAn_31_l284_st130_e981_se-1_ID=168381_1,k__Bacteria
SPA_MetaAn_32_l277_st345_e1175_se1_ID=36754_1,s__JACDEG01_sp013816505
SPA_MetaAn_32_l284_st552_e1403_se-1_ID=64392_1,k__Bacteria
SPA_MetaAn_35_l284_st3317_e4168_se1_ID=3811_4,k__Bacteria
SPA_MetaAn_50_l276_st3493_e4320_se1_ID=10850_6,g__Achromobacter
SPA_MetaAn_50_l284_st520_e1371_se-1_ID=109182_2,g__GCA-002050365
SPA_MetaAn_61_l268_st7_e810_se-1_ID=576368_1,p__Pseudomonadota
SPA_MetaAn_61_l276_st622_e1449_se-1_ID=120966_2,f__Xanthobacteraceae
SPA_MetaAn_62_l265_st2919_e3713_se-1_ID=9155_2,o__Pyrinomonadales
SPA_MetaAn_67_l263_st132_e920_se-1_ID=122004_1,s__Tunicatimonas_sp937884755
SPA_MetaAn_69_l289_st1573_e2439_se1_ID=16341_3,g__Bradyrhizobium
SPA_MetaAn_70_l267_st515_e1315_se-1_ID=569_1,f__Burkholderiaceae
SPA_MetaAn_73_l277_st102_e932_se1_ID=170480_2,k__Bacteria
SPA_MetaAn_74_l270_st548_e1357_se-1_ID=109579_2,g__Segetibacter
SPA_MetaAn_74_l284_st2844_e3695_se-1_ID=14855_2,s__GCA-002050365_sp026785925
SPA_MetaAn_74_l285_st578_e1432_se-1_ID=96530_2,g__Segetibacter
SPA_MetaAn_74_l286_st173_e1030_se-1_ID=42348_1,f__Burkholderiaceae
SPA_MetaAn_75_l267_st209_e1009_se1_ID=16525_2,k__Bacteria
SPA_MetaAn_79_l264_st101_e892_se1_ID=20644_1,g__AV80
